Category,GO BP Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,positive regulation of protein modification process,8.70E-03,106,1.00E-02,104,2.10E-02,117,7.40E-05,103,9.30E-03,116,6.30E-03,108,2.30E-03,106
GOTERM_BP_5,negative regulation of cellular metabolic process,1.10E-01,358,2.10E-01,346,1.40E-03,432,3.60E-02,317,3.30E-01,387,1.30E-01,361,1.80E-01,342
GOTERM_BP_5,cellular lipid catabolic process,3.70E-04,52,1.10E-05,55,1.70E-04,58,7.70E-06,51,1.90E-03,54,5.50E-04,52,7.00E-04,50
GOTERM_BP_5,hexose metabolic process,4.60E-04,115,3.30E-04,114,9.40E-03,122,5.00E-03,97,1.50E-03,123,1.20E-02,109,7.20E-04,111
GOTERM_BP_5,striated muscle cell differentiation,9.60E-01,35,7.60E-01,39,7.00E-01,47,9.80E-01,28,1.40E-01,53,9.20E-01,37,8.40E-01,37
GOTERM_BP_5,RNA splicing,6.20E-07,176,3.70E-08,178,7.20E-08,199,1.80E-02,134,5.00E-08,195,3.30E-06,175,2.60E-06,169
GOTERM_BP_5,protein import,3.10E-03,79,1.70E-03,79,7.00E-05,94,1.10E-03,72,3.10E-03,86,8.70E-02,72,1.60E-03,78
GOTERM_BP_5,regulation of translation,5.60E-03,81,5.20E-03,80,8.60E-04,94,8.50E-02,65,7.80E-02,82,8.00E-05,89,8.10E-03,78
GOTERM_BP_5,fatty acid catabolic process,2.10E-03,27,1.10E-07,33,5.70E-05,32,2.20E-08,32,2.50E-05,32,2.00E-06,32,8.40E-05,29
GOTERM_BP_5,dephosphorylation,7.00E-01,71,5.60E-01,72,4.00E-02,96,7.50E-01,60,3.60E-01,85,1.80E-01,81,5.50E-01,71
GOTERM_BP_5,protein heterooligomerization,1.10E-03,37,1.70E-01,29,2.10E-02,37,1.10E-01,27,5.20E-03,38,3.30E-02,33,1.50E-02,33
GOTERM_BP_5,negative regulation of signal transduction,2.80E-02,120,1.50E-02,120,3.50E-02,135,5.00E-03,110,2.90E-02,132,4.30E-02,120,5.60E-03,121
GOTERM_BP_5,regulation of T cell activation,1.00E+00,43,9.00E-01,49,3.70E-01,67,6.50E-01,47,9.90E-01,50,8.00E-01,53,7.70E-01,51
GOTERM_BP_5,cation transport,3.30E-01,268,7.60E-01,250,8.20E-01,292,6.10E-01,223,5.40E-01,292,8.20E-01,256,7.00E-01,248
GOTERM_BP_5,heart development,7.10E-01,99,5.20E-01,101,6.90E-01,115,4.90E-01,89,1.30E-01,123,1.90E-01,111,2.70E-01,104
GOTERM_BP_5,negative regulation of cell communication,4.40E-02,132,1.80E-02,133,5.30E-02,149,5.10E-03,122,2.90E-02,147,3.90E-02,134,6.50E-03,134
GOTERM_BP_5,regulation of nucleocytoplasmic transport,3.90E-01,30,7.40E-01,26,4.00E-01,34,9.10E-01,20,8.60E-01,28,6.30E-01,28,5.00E-01,28
GOTERM_BP_5,response to nutrient,4.80E-01,68,2.50E-02,78,1.10E-01,85,4.80E-02,68,3.30E-01,78,1.80E-01,74,2.70E-01,69
GOTERM_BP_5,monosaccharide catabolic process,7.80E-02,41,2.00E-01,38,1.20E-01,45,3.30E-02,38,1.50E-02,48,1.40E-01,40,7.30E-02,40
GOTERM_BP_5,pyridine nucleotide metabolic process,1.20E-04,33,9.00E-04,31,7.80E-03,32,1.40E-01,22,2.40E-02,30,4.80E-02,27,1.80E-03,30
GOTERM_BP_5,positive regulation of cell proliferation,4.30E-01,199,7.50E-01,187,3.40E-01,231,2.60E-01,176,9.40E-01,204,6.10E-01,197,7.10E-01,185
GOTERM_BP_5,metal ion transport,5.50E-01,220,8.40E-01,207,7.60E-01,247,8.20E-01,181,7.10E-01,241,8.60E-01,213,7.40E-01,207
GOTERM_BP_5,cell redox homeostasis,3.30E-03,42,9.20E-04,43,7.60E-04,48,5.80E-03,37,3.20E-02,42,8.60E-04,44,1.40E-03,42
GOTERM_BP_5,muscle cell development,9.10E-01,23,5.50E-01,27,7.90E-01,29,9.30E-01,19,9.10E-02,36,7.30E-01,26,9.10E-01,22
GOTERM_BP_5,spermatogenesis,5.90E-01,145,1.40E-01,154,7.60E-01,163,5.30E-01,126,7.20E-01,159,9.30E-01,136,3.70E-01,145
GOTERM_BP_5,regulation of inflammatory response,7.80E-01,34,6.60E-01,35,2.30E-01,46,1.40E-01,37,5.50E-01,41,5.10E-02,45,6.10E-01,35
GOTERM_BP_5,protein homooligomerization,8.70E-02,53,5.20E-03,58,1.90E-03,67,1.20E-02,51,1.30E-03,66,6.70E-03,59,4.20E-04,61
GOTERM_BP_5,regulation of cell morphogenesis,5.30E-01,63,2.00E-01,67,9.50E-03,86,3.30E-02,65,2.70E-01,74,1.20E-01,71,1.20E-01,68
GOTERM_BP_5,hexose catabolic process,7.70E-02,40,2.00E-01,37,1.10E-01,44,3.40E-02,37,2.40E-02,46,2.00E-01,38,1.10E-01,38
GOTERM_BP_5,lipid modification,4.20E-03,45,9.80E-06,51,6.70E-04,52,3.00E-05,46,6.20E-04,51,2.20E-04,49,1.80E-03,45
GOTERM_BP_5,angiogenesis,1.40E-01,78,7.20E-02,79,3.40E-02,93,3.40E-01,64,1.40E-01,86,1.40E-01,79,3.70E-01,71
GOTERM_BP_5,cellular amine metabolic process,7.20E-06,183,4.10E-05,177,6.70E-05,200,1.10E-04,157,1.10E-04,194,1.20E-05,184,4.30E-06,179
GOTERM_BP_5,steroid metabolic process,1.00E-01,106,1.00E-03,117,1.60E-03,132,2.60E-03,103,1.10E-02,124,2.50E-03,118,2.70E-04,118
GOTERM_BP_5,response to estrogen stimulus,7.90E-01,47,3.60E-01,52,3.20E-01,61,5.90E-02,52,7.10E-01,54,5.60E-01,51,6.10E-01,48
GOTERM_BP_5,positive regulation of cell differentiation,8.50E-01,102,7.40E-01,103,3.70E-03,146,1.20E-01,103,7.20E-01,118,3.50E-01,114,2.50E-01,111
GOTERM_BP_5,positive regulation of hydrolase activity,9.00E-02,95,3.10E-02,97,1.10E-01,107,1.50E-01,81,2.70E-01,100,9.40E-02,96,3.40E-01,86
GOTERM_BP_5,fatty acid oxidation,4.60E-03,28,1.30E-07,35,6.80E-05,34,1.30E-07,33,1.30E-04,33,1.10E-05,33,1.60E-05,32
GOTERM_BP_5,lipid oxidation,4.60E-03,28,1.30E-07,35,6.80E-05,34,1.30E-07,33,1.30E-04,33,1.10E-05,33,1.60E-05,32
GOTERM_BP_5,nucleocytoplasmic transport,2.90E-02,87,2.50E-01,78,5.50E-03,102,6.80E-03,80,4.90E-02,94,2.70E-01,80,4.80E-02,83
GOTERM_BP_5,regulation of intracellular protein transport,4.50E-01,27,9.20E-01,21,6.50E-01,29,9.60E-01,17,8.90E-01,25,7.90E-01,24,6.80E-01,24
GOTERM_BP_5,cellular carbohydrate catabolic process,8.40E-02,48,9.40E-02,47,5.60E-02,55,1.40E-02,46,1.70E-02,56,1.00E-01,48,4.60E-02,48
GOTERM_BP_5,T cell activation,9.90E-01,49,9.00E-01,53,9.00E-01,63,9.40E-01,44,9.80E-01,56,9.70E-01,51,9.80E-01,48
GOTERM_BP_5,oxidoreduction coenzyme metabolic process,1.20E-05,41,8.50E-05,39,1.80E-03,40,6.50E-02,28,5.20E-03,38,8.20E-03,35,4.90E-04,37
GOTERM_BP_5,positive regulation of cytoskeleton organization,8.70E-01,19,4.30E-01,23,8.80E-01,22,1.00E-01,24,7.50E-01,23,6.20E-01,22,6.20E-01,21
GOTERM_BP_5,organ morphogenesis,9.40E-01,250,9.70E-01,241,1.00E+00,#N/A,9.50E-01,212,9.70E-01,277,9.50E-01,253,9.90E-01,230
GOTERM_BP_5,nuclear transport,4.10E-02,87,3.10E-01,78,9.40E-03,102,1.00E-02,80,7.00E-02,94,3.30E-01,80,6.60E-02,83
GOTERM_BP_5,regulation of cell migration,7.00E-01,78,1.40E-01,87,6.90E-02,103,6.90E-01,67,7.10E-01,87,7.00E-01,79,8.50E-01,72
GOTERM_BP_5,negative regulation of transport,9.30E-01,57,7.60E-01,60,4.30E-01,76,6.60E-01,54,8.80E-01,66,5.10E-01,66,7.10E-01,60
GOTERM_BP_5,protein localization in organelle,3.00E-03,87,7.00E-03,84,2.00E-03,98,5.30E-03,76,2.80E-03,95,7.70E-02,80,1.00E-02,82
GOTERM_BP_5,regulation of protein kinase cascade,8.30E-02,130,1.10E-02,135,2.70E-02,152,1.20E-03,126,5.90E-02,145,4.80E-03,141,4.90E-02,128
GOTERM_BP_5,negative regulation of cell motion,1.20E-01,36,8.90E-01,26,9.20E-02,41,7.90E-01,24,7.60E-01,32,7.50E-01,29,5.20E-01,30
GOTERM_BP_5,regulation of angiogenesis,2.50E-01,34,3.70E-01,32,3.80E-01,37,2.30E-01,30,6.70E-01,33,5.70E-01,31,4.20E-01,31
GOTERM_BP_5,actomyosin structure organization,1.00E+00,#N/A,8.30E-01,12,6.10E-01,16,1.00E+00,#N/A,1.50E-01,19,6.30E-01,14,1.00E+00,#N/A
GOTERM_BP_5,mitochondrial transport,3.70E-04,48,8.30E-05,49,2.60E-04,53,5.40E-03,40,6.20E-04,51,2.20E-04,49,7.70E-03,43
GOTERM_BP_5,cellular amino acid metabolic process,1.80E-05,139,3.40E-05,136,1.50E-04,151,8.70E-05,121,3.00E-04,146,2.00E-06,144,1.90E-06,139
GOTERM_BP_5,negative regulation of cell cycle,1.20E-01,45,3.30E-01,41,2.20E-01,49,9.30E-01,28,2.00E-01,48,3.50E-01,42,2.80E-01,41
GOTERM_BP_5,regulation of adaptive immune response,7.00E-01,26,9.60E-01,21,6.10E-01,31,7.30E-01,22,9.50E-01,25,9.90E-01,20,9.90E-01,19
GOTERM_BP_5,cell morphogenesis,8.00E-01,162,6.20E-01,164,1.00E-01,207,5.00E-01,146,6.80E-01,185,5.50E-01,171,5.40E-01,163
GOTERM_BP_5,endocytosis,9.20E-01,95,8.80E-01,95,5.10E-01,121,4.30E-01,92,9.00E-01,108,7.90E-01,101,9.30E-01,91
GOTERM_BP_5,muscle fiber development,7.50E-01,16,6.00E-01,17,5.80E-01,20,7.20E-01,14,3.60E-01,21,7.80E-01,16,6.90E-01,16
GOTERM_BP_5,regulation of establishment of protein localization,6.90E-01,56,8.50E-01,52,8.40E-01,62,9.50E-01,42,9.40E-01,57,7.90E-01,55,9.20E-01,49
GOTERM_BP_5,lymphocyte proliferation,8.50E-01,18,7.30E-01,19,8.50E-01,21,9.60E-01,13,9.30E-01,19,9.80E-01,15,9.80E-01,14
GOTERM_BP_5,ER to Golgi vesicle-mediated transport,4.20E-04,32,2.50E-03,30,1.00E-03,34,1.00E-02,26,4.80E-02,29,1.70E-03,31,4.80E-03,29
GOTERM_BP_5,"di-, tri-valent inorganic cation transport",8.10E-01,79,5.10E-01,83,9.00E-01,89,7.30E-01,69,4.60E-01,95,8.50E-01,79,7.70E-01,77
GOTERM_BP_5,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,7.50E-01,25,9.70E-01,20,6.50E-01,30,7.80E-01,21,9.60E-01,24,9.90E-01,19,9.90E-01,18
GOTERM_BP_5,regulation of actin filament depolymerization,5.40E-01,14,5.00E-01,14,3.80E-01,17,5.70E-01,12,1.00E-01,19,4.10E-01,15,4.70E-01,14
GOTERM_BP_5,ion homeostasis,6.90E-01,190,7.70E-01,184,8.70E-01,213,7.50E-01,161,7.00E-01,212,9.10E-01,184,7.70E-01,181
GOTERM_BP_5,Golgi vesicle transport,5.30E-04,82,3.10E-05,85,7.00E-05,94,1.60E-04,75,5.30E-04,89,1.30E-05,88,2.60E-04,81
GOTERM_BP_5,regulation of protein transport,6.70E-01,53,9.20E-01,47,8.90E-01,57,9.70E-01,38,9.70E-01,52,8.80E-01,50,9.20E-01,46
GOTERM_BP_5,negative regulation of protein complex disassembly,4.80E-01,21,1.40E-01,24,2.50E-01,26,5.20E-01,18,3.20E-02,29,2.80E-01,23,2.90E-01,22
GOTERM_BP_5,regulation of cyclin-dependent protein kinase activity,2.90E-01,29,1.70E-01,30,1.30E-01,35,3.30E-01,25,6.10E-01,29,3.30E-01,29,1.50E-01,30
GOTERM_BP_5,negative regulation of transferase activity,4.80E-02,55,5.20E-02,54,9.90E-02,60,3.70E-01,42,4.30E-01,53,9.10E-02,54,2.20E-01,49
GOTERM_BP_5,kidney development,7.90E-01,43,8.00E-01,42,5.60E-01,53,6.20E-01,39,9.50E-01,44,8.70E-01,42,8.60E-01,40
GOTERM_BP_5,organ regeneration,1.00E-01,17,5.90E-01,13,6.00E-01,15,3.50E-01,13,8.10E-01,13,6.50E-01,13,8.20E-01,11
GOTERM_BP_5,response to monosaccharide stimulus,8.60E-01,20,4.20E-01,24,2.00E-01,30,9.50E-02,25,1.40E-01,30,1.90E-01,27,6.10E-01,22
GOTERM_BP_5,regulation of insulin secretion,5.50E-01,20,3.80E-01,21,2.90E-01,25,2.30E-01,20,5.80E-01,22,1.50E-01,24,5.90E-01,19
GOTERM_BP_5,establishment of vesicle localization,8.70E-02,21,1.50E-02,23,3.00E-01,21,2.30E-01,17,1.40E-01,22,1.70E-01,20,3.10E-01,18
GOTERM_BP_5,hemopoiesis,9.80E-01,98,9.40E-01,99,8.80E-01,121,9.70E-01,83,9.90E-01,108,1.00E+00,95,1.00E+00,86
GOTERM_BP_5,bone development,8.90E-01,53,6.10E-01,57,2.00E-01,73,6.00E-01,50,5.30E-01,66,6.00E-01,59,8.00E-01,53
GOTERM_BP_5,regulation of lymphocyte proliferation,9.80E-01,31,9.90E-01,29,7.20E-01,44,9.50E-01,28,9.90E-01,34,7.60E-01,38,8.30E-01,35
GOTERM_BP_5,interphase,1.10E-01,58,1.40E-02,62,1.60E-02,70,3.10E-02,54,2.40E-01,61,3.70E-01,54,4.10E-01,51
GOTERM_BP_5,response to lipopolysaccharide,3.10E-01,40,1.30E-02,47,1.60E-03,56,1.10E-01,38,8.80E-02,48,1.00E-01,44,4.60E-03,48
GOTERM_BP_5,neuron projection development,1.40E-01,131,8.90E-02,131,7.30E-03,160,8.80E-02,116,2.40E-01,142,1.60E-01,132,1.70E-01,126
GOTERM_BP_5,cell part morphogenesis,7.30E-02,134,8.90E-02,131,2.00E-02,157,2.40E-01,111,2.90E-01,141,1.90E-01,131,1.40E-01,127
GOTERM_BP_5,"nucleobase, nucleoside and nucleotide biosynthetic process",9.90E-04,114,7.50E-02,101,1.40E-01,114,9.00E-03,96,7.90E-02,113,9.50E-02,103,4.80E-02,101
GOTERM_BP_5,"nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process",9.90E-04,114,7.50E-02,101,1.40E-01,114,9.00E-03,96,7.90E-02,113,9.50E-02,103,4.80E-02,101
GOTERM_BP_5,striated muscle contraction,9.90E-01,15,9.60E-01,17,1.00E+00,#N/A,7.40E-01,18,7.90E-01,23,9.10E-01,19,9.90E-01,15
GOTERM_BP_5,positive regulation of cell activation,1.00E+00,40,1.00E+00,38,8.30E-01,57,9.50E-01,38,1.00E+00,43,9.00E-01,48,9.60E-01,43
