Category,Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,bile acid metabolic process,1,#N/A,1,#N/A,0.00034,12,1,#N/A,0.00091,11,0.0021,10,1,#N/A
GOTERM_BP_5,cellular amino acid metabolic process,0.000019,64,0.000033,61,0.00025,69,0.00071,51,0.0013,62,0.000028,64,0.0000014,63
GOTERM_BP_5,nucleoside phosphate metabolic process,0.000077,76,0.0021,67,0.0019,81,0.0017,61,0.003,75,0.00057,73,0.00052,67
GOTERM_BP_5,nucleic acid transport,0.029,25,0.089,22,0.0042,32,0.029,22,0.018,28,0.0052,28,0.033,23
GOTERM_BP_5,RNA transport,0.029,25,0.089,22,0.0042,32,0.029,22,0.018,28,0.0052,28,0.033,23
GOTERM_BP_5,posttranscriptional regulation of gene expression,0.0013,54,0.0013,52,0.0015,62,0.067,39,0.027,52,0.00031,57,0.026,44
GOTERM_BP_5,protein targeting,0.0089,51,0.022,47,0.004,61,0.011,44,0.026,53,0.055,47,0.071,42
GOTERM_BP_5,lipid oxidation,0.0032,15,0.0000095,19,0.00078,18,0.0000077,18,0.000082,19,0.00035,17,0.00034,16
GOTERM_BP_5,fatty acid oxidation,0.0032,15,0.0000095,19,0.00078,18,0.0000077,18,0.000082,19,0.00035,17,0.00034,16
GOTERM_BP_5,nuclear transport,0.012,39,0.18,31,0.02,44,0.013,34,0.11,37,0.12,34,0.11,31
GOTERM_BP_5,cytoskeleton-dependent intracellular transport,0.086,14,0.12,13,0.088,16,1,#N/A,0.05,16,0.16,13,1,#N/A
GOTERM_BP_5,nucleocytoplasmic transport,0.0099,39,0.16,31,0.016,44,0.011,34,0.098,37,0.1,34,0.1,31
GOTERM_BP_5,intracellular protein transport,0.0081,82,0.029,75,0.0039,98,0.0052,72,0.0052,91,0.016,81,0.048,70
GOTERM_BP_5,aspartate family amino acid metabolic process,0.012,10,1,#N/A,0.038,10,1,#N/A,1,#N/A,1,#N/A,0.0064,10
GOTERM_BP_5,positive regulation of cell communication,0.05,68,0.014,69,0.028,82,0.0018,67,0.018,78,0.0087,74,0.055,62
GOTERM_BP_5,ncRNA metabolic process,0.00071,59,0.12,45,0.0012,67,0.014,46,0.00042,65,0.017,53,0.0018,53
GOTERM_BP_5,proteolysis,0.028,201,0.0044,201,0.015,242,0.046,169,0.01,227,0.014,207,0.044,181
GOTERM_BP_5,positive regulation of signal transduction,0.083,60,0.02,62,0.032,74,0.008,58,0.034,69,0.01,67,0.082,55
GOTERM_BP_5,oligodendrocyte differentiation,1,#N/A,1,#N/A,0.021,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,protein transport,0.0036,157,0.0044,150,0.002,187,0.00048,141,0.0018,175,0.0026,160,0.018,138
GOTERM_BP_5,oxidoreduction coenzyme metabolic process,0.0014,19,0.00026,20,0.0047,20,0.11,12,0.025,17,0.011,17,0.0088,16
GOTERM_BP_5,negative regulation of cell cycle process,0.017,10,1,#N/A,0.019,11,1,#N/A,0.011,11,0.018,10,1,#N/A
GOTERM_BP_5,positive regulation of osteoblast differentiation,1,#N/A,1,#N/A,0.006,12,0.00029,12,0.032,10,0.0015,12,0.0087,10
GOTERM_BP_5,protein kinase cascade,0.27,68,0.096,70,0.064,88,0.084,63,0.28,75,0.15,72,0.18,64
GOTERM_BP_5,actin filament organization,0.88,10,0.37,14,0.5,16,0.71,10,0.37,16,0.34,15,0.42,13
GOTERM_BP_5,cellular amine metabolic process,0.0001,78,0.000064,76,0.0012,85,0.0011,64,0.0058,76,0.00015,78,0.000036,74
GOTERM_BP_5,regulation of cytoskeleton organization,0.35,26,0.26,26,0.49,29,0.21,24,0.18,31,0.29,27,0.13,27
GOTERM_BP_5,RNA processing,0.00061,122,0.053,103,0.0011,141,0.052,92,0.0001,138,0.024,112,0.003,108
GOTERM_BP_5,enzyme linked receptor protein signaling pathway,0.074,69,0.016,71,0.0023,92,0.043,61,0.016,81,0.0033,79,0.0033,72
GOTERM_BP_5,regulation of cellular protein metabolic process,0.0039,103,0.00085,103,0.0089,118,0.0079,87,0.039,105,0.0029,105,0.025,89
GOTERM_BP_5,sulfur amino acid metabolic process,0.0091,10,0.0066,10,0.029,10,1,#N/A,0.018,10,1,#N/A,0.0046,10
GOTERM_BP_5,heart contraction,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,water-soluble vitamin biosynthetic process,0.00056,12,0.0066,10,0.0096,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,protein import into nucleus,0.045,22,0.14,19,0.032,26,0.054,19,0.07,23,0.29,18,0.096,19
GOTERM_BP_5,regulation of protein metabolic process,0.012,113,0.0014,115,0.012,133,0.022,95,0.055,118,0.0097,115,0.053,98
GOTERM_BP_5,positive regulation of response to external stimulus,0.52,12,0.14,15,0.024,21,0.031,16,0.13,17,0.036,18,0.054,16
GOTERM_BP_5,regulation of signal transduction,0.0067,176,0.0037,171,0.019,203,0.0063,151,0.087,181,0.0054,179,0.0086,160
GOTERM_BP_5,regulation of microtubule cytoskeleton organization,0.16,11,0.22,10,0.067,14,1,#N/A,0.079,13,0.17,11,0.095,11
GOTERM_BP_5,pyridine nucleotide metabolic process,0.0068,15,0.0015,16,0.014,16,0.13,10,0.079,13,0.043,13,0.02,13
GOTERM_BP_5,endocytosis,0.26,42,0.047,46,0.048,56,0.055,41,0.1,50,0.1,46,0.28,38
GOTERM_BP_5,induction of programmed cell death,0.25,60,0.018,67,0.0079,84,0.019,60,0.051,73,0.04,68,0.39,52
GOTERM_BP_5,protein localization in organelle,0.065,33,0.13,30,0.035,40,0.035,30,0.065,36,0.11,32,0.076,30
GOTERM_BP_5,myofibril assembly,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,gliogenesis,0.67,11,0.088,16,0.029,21,0.2,13,0.049,19,0.31,14,0.11,15
GOTERM_BP_5,respiratory tube development,0.009,28,0.017,26,0.0026,34,0.0017,27,0.0029,32,0.0055,29,0.00045,30
GOTERM_BP_5,"nucleobase, nucleoside and nucleotide biosynthetic process",0.0027,49,0.022,43,0.066,49,0.0075,41,0.019,49,0.0094,47,0.0033,45
GOTERM_BP_5,"nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process",0.0027,49,0.022,43,0.066,49,0.0075,41,0.019,49,0.0094,47,0.0033,45
GOTERM_BP_5,lung development,0.011,27,0.022,25,0.003,33,0.0023,26,0.0017,32,0.007,28,0.00026,30
GOTERM_BP_5,ncRNA processing,0.0068,46,0.3,34,0.012,52,0.048,36,0.0024,52,0.048,42,0.014,41
GOTERM_BP_5,Golgi vesicle transport,0.027,32,0.064,29,0.028,37,0.044,27,0.039,34,0.0063,35,0.036,29
GOTERM_BP_5,protein import,0.068,30,0.097,28,0.028,37,0.044,27,0.13,31,0.23,27,0.09,27
GOTERM_BP_5,centrosome cycle,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of microtubule polymerization or depolymerization,1,#N/A,1,#N/A,0.16,10,1,#N/A,0.05,11,1,#N/A,1,#N/A
GOTERM_BP_5,actomyosin structure organization,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.063,10,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of mitotic metaphase/anaphase transition,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,NAD metabolic process,1,#N/A,0.012,10,0.019,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,protein oligomerization,0.14,36,0.01,41,0.06,45,0.03,35,0.043,43,0.12,37,0.031,37
GOTERM_BP_5,positive regulation of programmed cell death,0.15,82,0.0068,90,0.012,108,0.018,78,0.028,98,0.051,88,0.22,73
GOTERM_BP_5,neurogenesis,0.41,104,0.057,112,0.025,142,0.068,99,0.028,132,0.088,116,0.21,100
GOTERM_BP_5,positive regulation of apoptosis,0.17,81,0.008,89,0.013,107,0.021,77,0.031,97,0.057,87,0.24,72
GOTERM_BP_5,cellular amino acid derivative biosynthetic process,0.0058,18,0.0035,18,0.034,18,0.0065,16,0.035,17,0.015,17,0.028,15
GOTERM_BP_5,nucleoside metabolic process,0.0032,21,0.043,17,0.0057,23,0.015,17,0.022,20,0.0037,21,0.0058,19
GOTERM_BP_5,positive regulation of cell death,0.16,82,0.0077,90,0.014,108,0.02,78,0.031,98,0.056,88,0.23,73
GOTERM_BP_5,ER-nuclear signaling pathway,0.025,12,0.044,11,0.037,13,0.05,10,0.049,12,0.062,11,0.074,10
GOTERM_BP_5,regulation of cell migration,0.33,32,0.042,37,0.026,46,0.05,33,0.042,42,0.28,33,0.42,28
GOTERM_BP_5,centrosome organization,0.033,11,0.0027,13,0.095,11,0.029,10,0.026,12,0.081,10,0.0058,12
GOTERM_BP_5,carboxylic acid biosynthetic process,0.058,35,0.0022,40,0.015,44,0.016,33,0.027,40,0.0036,41,0.026,34
GOTERM_BP_5,negative regulation of cellular protein metabolic process,0.053,40,0.0066,43,0.0019,54,0.0038,40,0.032,45,0.018,43,0.032,38
GOTERM_BP_5,microtubule-based transport,1,#N/A,1,#N/A,0.11,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of cytoskeleton organization,0.59,10,0.39,11,0.57,12,1,#N/A,0.33,13,0.61,10,0.32,11
GOTERM_BP_5,negative regulation of secretion,0.45,11,0.092,14,0.21,15,0.08,13,0.33,13,0.074,15,0.21,12
GOTERM_BP_5,intracellular signaling cascade,0.07,231,0.032,226,0.0088,288,0.0037,211,0.13,251,0.11,231,0.32,198
GOTERM_BP_5,positive regulation of hormone secretion,0.14,10,0.052,11,0.094,12,0.059,10,0.12,11,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of hormone secretion,0.21,15,0.029,18,0.1,19,0.075,15,0.097,18,0.085,17,0.12,15
GOTERM_BP_5,negative regulation of myeloid cell differentiation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,biogenic amine biosynthetic process,0.021,11,0.015,11,0.065,11,0.0063,11,0.093,10,0.057,10,1,#N/A
GOTERM_BP_5,mammary gland development,0.63,11,0.07,16,0.39,15,0.1,14,0.28,15,0.11,16,0.36,12
GOTERM_BP_5,regulation of osteoblast differentiation,0.18,11,1,#N/A,0.039,15,0.00052,16,0.046,14,0.0096,15,0.053,12
GOTERM_BP_5,regulation of actin filament depolymerization,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,in utero embryonic development,0.27,34,0.14,35,0.014,49,0.16,31,0.05,43,0.031,41,0.037,37
GOTERM_BP_5,response to estrogen stimulus,0.4,20,0.07,24,0.1,28,0.011,25,0.17,25,0.33,21,0.24,20
GOTERM_BP_5,positive regulation of muscle contraction,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,actin filament bundle formation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,M phase of mitotic cell cycle,0.19,44,0.013,50,0.046,57,0.18,38,0.071,52,0.27,43,0.061,44
GOTERM_BP_5,bone development,0.51,22,0.32,23,0.071,33,0.21,22,0.28,27,0.19,26,0.61,19
GOTERM_BP_5,protein folding,0.0022,46,0.0016,45,0.016,49,0.0015,41,0.0036,49,0.022,42,0.039,37
GOTERM_BP_5,amine biosynthetic process,0.013,23,0.0034,24,0.049,24,0.0079,21,0.039,23,0.028,22,0.033,20
GOTERM_BP_5,protein homooligomerization,0.17,21,0.044,23,0.057,27,0.072,20,0.069,25,0.18,21,0.047,22
GOTERM_BP_5,positive regulation of protein metabolic process,0.096,50,0.024,52,0.19,56,0.0094,49,0.12,54,0.061,52,0.065,47
GOTERM_BP_5,negative regulation of cell growth,0.051,23,0.032,23,0.013,29,0.016,22,0.016,27,0.033,24,0.0096,24
GOTERM_BP_5,regulation of cell morphogenesis,0.068,30,0.041,30,0.028,37,0.0085,30,0.061,33,0.11,29,0.058,28
GOTERM_BP_5,glucose metabolic process,0.2,31,0.017,36,0.094,39,0.038,31,0.11,36,0.17,32,0.23,28
GOTERM_BP_5,regulation of protein polymerization,0.73,11,0.54,12,0.64,14,0.16,14,0.51,14,0.63,12,0.34,13
GOTERM_BP_5,cellular amino acid catabolic process,0.029,19,0.009,20,0.025,22,0.092,15,0.19,17,0.0079,21,0.0021,21
GOTERM_BP_5,sphingolipid metabolic process,0.18,17,0.31,15,0.34,18,0.37,13,0.23,18,0.52,14,0.47,13
GOTERM_BP_5,negative regulation of protein complex disassembly,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.23,11,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of organelle organization,0.52,15,0.57,14,0.61,17,0.5,13,0.47,17,0.66,14,0.48,14
GOTERM_BP_5,regulation of cell cycle process,0.2,24,0.2,23,0.21,28,0.12,22,0.38,24,0.22,24,0.37,20
GOTERM_BP_5,positive regulation of hydrolase activity,0.24,35,0.016,41,0.12,44,0.18,31,0.09,42,0.058,40,0.39,30
GOTERM_BP_5,mitosis,0.16,44,0.014,49,0.066,55,0.19,37,0.1,50,0.29,42,0.068,43
GOTERM_BP_5,negative regulation of protein metabolic process,0.085,40,0.013,43,0.0046,54,0.0074,40,0.057,45,0.033,43,0.053,38
GOTERM_BP_5,regulation of DNA replication,0.74,10,0.19,14,0.17,17,0.26,12,0.1,17,0.36,13,1,#N/A
GOTERM_BP_5,microtubule organizing center organization,0.058,11,0.0063,13,0.15,11,0.05,10,0.049,12,0.13,10,0.012,12
GOTERM_BP_5,regulation of inflammatory response,0.64,13,0.45,14,0.18,20,0.11,16,0.45,16,0.027,21,0.49,13
GOTERM_BP_5,striated muscle cell development,1,#N/A,0.32,11,0.49,12,1,#N/A,0.16,14,0.54,10,1,#N/A
GOTERM_BP_5,negative regulation of mononuclear cell proliferation,1,#N/A,1,#N/A,0.044,12,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of leukocyte proliferation,1,#N/A,1,#N/A,0.044,12,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of lymphocyte proliferation,1,#N/A,1,#N/A,0.044,12,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,M phase,0.43,58,0.04,66,0.066,79,0.21,53,0.1,72,0.59,56,0.29,55
GOTERM_BP_5,skeletal system morphogenesis,0.99,12,0.88,15,0.13,29,0.42,18,0.13,27,0.45,21,0.83,15
GOTERM_BP_5,regulation of epithelial cell differentiation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,protein tetramerization,0.052,12,0.16,10,0.038,14,0.09,10,0.098,12,0.11,11,0.063,11
GOTERM_BP_5,"regulation of gene expression, epigenetic",0.31,16,0.1,18,0.084,22,0.41,13,0.26,18,0.15,18,0.28,15
GOTERM_BP_5,tRNA aminoacylation for protein translation,0.0024,17,0.025,14,0.015,17,0.0094,14,0.0072,17,0.018,15,0.0025,16
GOTERM_BP_5,amino acid activation,0.0024,17,0.025,14,0.015,17,0.0094,14,0.0072,17,0.018,15,0.0025,16
GOTERM_BP_5,regulation of Wnt receptor signaling pathway,0.036,14,0.055,13,0.066,15,0.19,10,0.075,14,0.04,14,0.039,13
GOTERM_BP_5,organ regeneration,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,glial cell development,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of hormone secretion,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,cholesterol biosynthetic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.041,10,1,#N/A,0.012,10
GOTERM_BP_5,peripheral nervous system development,1,#N/A,1,#N/A,0.18,11,1,#N/A,0.026,13,1,#N/A,1,#N/A
GOTERM_BP_5,actin filament-based movement,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of translation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,response to corticosteroid stimulus,0.35,17,0.28,17,0.35,20,0.14,17,0.64,16,0.37,17,0.92,10
GOTERM_BP_5,amine catabolic process,0.031,21,0.02,21,0.057,23,0.13,16,0.28,18,0.019,22,0.0053,22
GOTERM_BP_5,regulation of ossification,0.33,16,0.49,14,0.31,19,0.011,20,0.2,19,0.062,20,0.29,15
GOTERM_BP_5,positive regulation of inflammatory response,1,#N/A,1,#N/A,0.065,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of actin polymerization or depolymerization,0.59,11,0.66,10,0.82,11,0.5,10,0.61,12,0.61,11,0.45,11
GOTERM_BP_5,positive regulation of cellular protein metabolic process,0.17,46,0.053,48,0.29,52,0.017,46,0.2,50,0.12,48,0.13,43
GOTERM_BP_5,generation of neurons,0.33,99,0.067,104,0.089,127,0.079,92,0.051,121,0.12,107,0.25,92
GOTERM_BP_5,purine nucleotide biosynthetic process,0.05,34,0.2,29,0.23,35,0.041,30,0.11,35,0.058,34,0.088,30
GOTERM_BP_5,positive regulation of protein kinase cascade,0.38,31,0.08,35,0.13,41,0.027,34,0.15,38,0.051,38,0.14,32
GOTERM_BP_5,positive regulation of behavior,1,#N/A,1,#N/A,0.24,10,0.042,10,1,#N/A,0.052,11,1,#N/A
GOTERM_BP_5,negative regulation of protein complex assembly,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of translation,0.1,10,1,#N/A,0.03,13,1,#N/A,0.04,12,0.022,12,1,#N/A
GOTERM_BP_5,negative regulation of actin filament depolymerization,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,lipid modification,0.062,18,0.002,22,0.052,21,0.0026,20,0.025,21,0.0094,21,0.013,19
GOTERM_BP_5,response to calcium ion,0.32,12,0.048,15,0.21,15,0.15,12,0.33,13,0.22,13,1,#N/A
GOTERM_BP_5,ribonucleotide biosynthetic process,0.037,30,0.26,24,0.29,29,0.066,25,0.11,30,0.042,30,0.12,25
GOTERM_BP_5,regulation of smooth muscle contraction,1,#N/A,0.14,10,0.23,11,1,#N/A,0.16,11,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of secretion,0.68,33,0.12,40,0.32,45,0.27,33,0.44,40,0.49,36,0.36,34
GOTERM_BP_5,hormone-mediated signaling,0.25,12,0.031,15,0.047,17,0.011,15,0.025,17,0.093,14,0.26,11
GOTERM_BP_5,positive regulation of cytoskeleton organization,1,#N/A,0.29,10,0.57,10,0.18,10,0.33,11,0.36,10,0.24,10
GOTERM_BP_5,regulation of heart contraction,0.31,16,0.47,14,0.72,15,0.12,16,0.48,16,0.23,17,0.64,12
GOTERM_BP_5,striated muscle cell differentiation,1,#N/A,0.56,15,0.52,19,0.82,11,0.48,18,0.84,13,0.8,12
GOTERM_BP_5,regulation of myeloid cell differentiation,1,#N/A,0.71,11,0.57,15,0.4,12,0.44,15,0.54,13,0.51,12
GOTERM_BP_5,RNA metabolic process,0.0031,190,0.2,161,0.016,217,0.2,143,0.0049,207,0.11,175,0.017,167
GOTERM_BP_5,regulation of actin filament length,0.63,11,0.7,10,0.85,11,0.54,10,0.65,12,0.65,11,0.5,11
GOTERM_BP_5,membrane lipid metabolic process,0.28,17,0.43,15,0.48,18,0.48,13,0.34,18,0.64,14,0.59,13
GOTERM_BP_5,muscle cell development,1,#N/A,0.41,11,0.6,12,1,#N/A,0.24,14,0.63,10,1,#N/A
GOTERM_BP_5,regulation of mitosis,0.34,12,0.41,11,0.6,12,0.26,11,0.62,11,0.24,13,0.49,10
GOTERM_BP_5,regulation of nuclear division,0.34,12,0.41,11,0.6,12,0.26,11,0.62,11,0.24,13,0.49,10
GOTERM_BP_5,positive regulation of protein complex assembly,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of small GTPase mediated signal transduction,0.24,48,0.083,50,0.05,63,0.19,42,0.29,52,0.13,51,0.14,46
GOTERM_BP_5,regulation of DNA metabolic process,0.36,22,0.28,22,0.1,30,0.078,23,0.11,28,0.38,22,0.84,15
GOTERM_BP_5,hexose metabolic process,0.26,37,0.02,43,0.2,45,0.13,34,0.25,41,0.18,39,0.25,34
GOTERM_BP_5,positive regulation of cell migration,0.16,20,0.012,24,0.076,25,0.011,22,0.096,23,0.07,22,0.72,13
GOTERM_BP_5,angiogenesis,0.21,30,0.044,33,0.17,36,0.2,26,0.15,34,0.23,30,0.088,30
GOTERM_BP_5,regulation of endothelial cell proliferation,1,#N/A,0.059,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,striated muscle contraction,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,cell migration,0.68,45,0.24,50,0.16,64,0.17,46,0.44,54,0.28,52,0.59,42
GOTERM_BP_5,peptide hormone secretion,0.11,11,0.16,10,0.038,14,0.09,10,0.18,11,0.025,13,1,#N/A
GOTERM_BP_5,regulation of mitotic cell cycle,0.5,27,0.39,27,0.51,32,0.49,23,0.57,29,0.44,28,0.46,25
GOTERM_BP_5,regulation of axonogenesis,0.24,13,0.12,14,0.098,17,0.052,14,0.099,16,0.16,14,0.24,12
GOTERM_BP_5,nucleoside monophosphate biosynthetic process,0.12,13,0.094,13,0.066,16,0.087,12,0.071,15,0.072,14,0.033,14
GOTERM_BP_5,cellular response to insulin stimulus,0.16,16,0.12,16,0.079,20,0.16,14,0.28,16,0.17,16,0.46,12
GOTERM_BP_5,purine ribonucleotide metabolic process,0.033,33,0.28,26,0.29,32,0.075,27,0.11,33,0.038,33,0.098,28
GOTERM_BP_5,negative regulation of protein polymerization,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of chemotaxis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of endocytosis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,"complement activation, classical pathway",1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.077,10,0.047,10,1,#N/A
GOTERM_BP_5,chordate embryonic development,0.28,61,0.47,55,0.057,80,0.33,51,0.17,70,0.069,68,0.26,56
GOTERM_BP_5,positive regulation of protein modification process,0.06,41,0.032,41,0.15,45,0.0043,41,0.19,41,0.07,41,0.078,37
GOTERM_BP_5,negative regulation of signal transduction,0.034,49,0.071,45,0.26,50,0.026,43,0.18,48,0.15,45,0.072,43
GOTERM_BP_5,regulation of muscle contraction,0.69,12,0.37,14,0.5,16,0.32,13,0.37,16,0.46,14,1,#N/A
GOTERM_BP_5,regulation of cell shape,0.11,14,0.24,12,0.11,16,0.13,12,0.43,12,0.31,12,0.11,13
GOTERM_BP_5,regulation of phosphate metabolic process,0.1,93,0.034,94,0.19,107,0.14,78,0.28,97,0.073,96,0.27,80
GOTERM_BP_5,regulation of phosphorus metabolic process,0.1,93,0.034,94,0.19,107,0.14,78,0.28,97,0.073,96,0.27,80
GOTERM_BP_5,negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle,0.069,17,0.048,17,0.092,19,0.0076,18,0.14,17,0.13,16,0.11,15
GOTERM_BP_5,acute inflammatory response,0.7,16,0.51,17,0.42,22,0.41,16,0.47,20,0.021,26,0.42,17
GOTERM_BP_5,modification-dependent macromolecule catabolic process,0.0051,121,0.0054,116,0.0093,140,0.024,99,0.015,129,0.049,114,0.038,104
GOTERM_BP_5,cell part morphogenesis,0.4,46,0.17,48,0.28,57,0.33,40,0.22,54,0.25,49,0.13,47
GOTERM_BP_5,vesicle docking,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,coenzyme catabolic process,1,#N/A,1,#N/A,0.063,10,1,#N/A,0.041,10,1,#N/A,1,#N/A
