Subsystems in HMR 2.0 database,HMRdatabase2_00,Generic HCC,patient 2177,patient 2280,patient 2556,patient 2766,patient 3196,patient 3477
Fructose and Mannose metabolism,22,15,13,13,14,15,15,13
Galactose metabolism,19,14,16,16,14,15,14,14
Glucocorticoid biosynthesis,11,6,5,7,6,7,8,6
Glutathione metabolism,17,14,14,15,14,15,14,15
Glycerolipid metabolism,76,74,74,74,69,68,74,68
Glycerophospholipid metabolism,82,63,63,64,60,66,64,60
"Glycine, serine and threonine metabolism",59,45,46,47,44,45,47,42
Glycolysis / Gluconeogenesis,41,31,34,38,30,35,33,30
Glycosphingolipid biosynthesis-ganglio series,37,24,21,26,23,30,27,25
Glycosphingolipid biosynthesis-globo series,11,9,7,9,8,9,9,10
Glycosphingolipid biosynthesis-lacto and neolacto series,51,9,10,33,19,23,23,9
Glycosphingolipid metabolism,21,16,17,16,14,16,16,16
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,31,24,23,24,23,24,25,24
Heparan sulfate degradation,30,27,23,24,24,27,27,27
Histidine metabolism,17,16,15,16,16,15,15,16
Inositol phosphate metabolism,91,48,50,64,51,63,59,50
Isolated,150,6,8,8,8,6,6,8
Keratan sulfate biosynthesis,59,56,56,56,56,56,56,56
Keratan sulfate degradation,75,75,75,75,58,75,75,75
Leukotriene metabolism,170,156,154,156,155,155,156,157
Linoleate metabolism,34,16,16,16,16,16,16,16
Lipoic acid metabolism,8,3,3,4,2,3,6,3
Lysine metabolism,32,31,31,31,31,31,31,31
Metabolism of xenobiotics by cytochrome P450,131,79,83,80,76,80,79,79
Miscellaneous,16,7,7,7,7,7,7,7
N-glycan metabolism,82,67,62,68,66,69,68,67
Nicotinate and nicotinamide metabolism,35,16,20,17,14,16,17,17
Nitrogen metabolism,1,1,1,1,1,1,1,1
Nucleotide metabolism,124,62,64,64,66,68,64,65
O-glycan metabolism,18,9,9,11,10,11,11,9
Omega-3 fatty acid metabolism,75,61,61,60,64,66,60,60
Omega-6 fatty acid metabolism,61,50,50,50,55,57,50,50
Other amino acid,19,17,17,17,16,17,17,17
Oxidative phosphorylation,9,9,9,9,9,9,9,9
Pantothenate and CoA biosynthesis,20,15,14,17,15,14,16,13
Pentose and glucuronate interconversions,16,9,8,9,8,9,8,8
Pentose phosphate pathway,25,17,16,18,19,18,15,16
"Phenylalanine, tyrosine and tryptophan biosynthesis",161,84,74,81,89,90,73,82
Pool reactions,43,21,21,22,24,23,23,25
Porphyrin metabolism,22,13,13,13,10,13,13,13
Propanoate metabolism,17,14,14,14,13,13,13,15
prostaglandin biosynthesis,71,26,25,27,25,26,27,26
Protein assembly,24,5,6,6,5,5,5,5
Protein degradation,36,6,6,7,6,6,7,7
Protein modification,10,6,6,6,6,6,6,6
Purine metabolism,102,92,93,93,90,91,93,92
Pyrimidine metabolism,71,53,54,53,50,51,54,53
Pyruvate metabolism,33,30,29,31,31,31,27,28
Retinol metabolism,86,54,54,53,52,54,51,52
Riboflavin metabolism,6,5,5,5,5,4,5,5
ROS detoxification,9,7,8,8,8,8,6,7
Serotonin and melatonin biosynthesis,20,9,8,9,7,9,9,9
Sphingolipid metabolism,95,58,55,58,58,62,63,59
Starch and sucrose metabolism,33,14,14,13,22,14,31,14
Steroid metabolism,77,31,34,44,28,38,37,31
Sulfur metabolism,10,5,7,7,4,5,4,5
Terpenoid backbone biosynthesis,17,16,16,16,16,16,16,16
Thiamine metabolism,7,3,3,3,3,3,3,3
"Transport, endoplasmic reticular",179,51,48,56,46,46,50,48
"Transport, extracellular",1592,526,542,508,447,540,448,559
"Transport, Golgi apparatus",98,21,20,22,23,20,21,21
"Transport, Golgi to extracellular",2,0,0,0,0,0,0,0
"Transport, Golgi to lysosome",1,1,1,1,0,1,1,1
"Transport, lysosomal",129,62,63,62,61,63,60,63
"Transport, lysosome to cytosol",59,0,0,0,0,0,0,0
"Transport, lysosome to ER",13,4,6,6,6,6,6,6
"Transport, mitochondrial",340,146,146,168,141,169,142,144
"Transport, nuclear",75,25,27,27,24,24,24,23
"Transport, peroxisomal",115,57,56,58,58,57,56,55
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,44,37,39,40,36,37,37,37
Tryptophan metabolism,10,9,9,9,10,9,9,9
Tyrosine metabolism,28,13,12,13,13,17,14,13
"Valine, leucine, and isoleucine metabolism",44,37,37,37,37,37,37,37
Vitamin B12 metabolism,3,3,3,3,3,3,3,3
Vitamin B6 metabolism,11,9,9,11,9,9,9,9
Vitamin D metabolism,32,24,22,23,23,23,20,22
Vitamin E metabolism,48,37,37,37,35,37,37,37
,8182,4816,4823,4954,4690,4967,4764,4833
