Metabolite Names in HMR database,Tasks failed in healthy cells,Subsystems of Antimetabolites in HMR database,Enzymes,Category,Explanations,References,
farnesyl-PP,166,Cholesterol biosynthesis,ENSG00000148459;ENSG00000164494,Activity correlates with cancer progression,"Prenyl diphosphate synthase subunit 2 (PDSS2) is the essential but non-catalyzing subunit of prenyl diphosphate synthase, the first enzyme in CoQ10 biosynthesis. PDSS2 gene is constitutionally expressed in normal lung tissues at a high level (2.1 times of average genes, by AceView) [3] and [4]. This may due to its important function in CoQ10 biosynthesis, which is important for mitochondria function and cellular anti-oxidant defense.",PMID:23312889,
presqualene-PP,166,Cholesterol biosynthesis,ENSG00000079459,"Same enzymes targeted, but not with AM","The knockdown of FDFT1 mRNA expression or squalene synthase inhibition led to a significant decrease in prostate cancer cell proliferation (PMID:22546838). Additionally, human prostate cancer specimens expressed significantly higher levels of FDFT1 mRNA compared with noncancerous specimens. ",PMID:22546838 ,
squalene,166,Cholesterol biosynthesis,ENSG00000104549,"Same enzymes targeted, but not with AM","Aqualene epoxidase was associated with ER+ 7p+/8q+ breast cancer. Distant metastasis-free survival in stage I/II breast cancer cases was significantly inversely related to SQLE mRNA in multivariate Cox analysis (P<0.001) in two independent patient cohorts of 160 patients each (PMID:18728668). In the study using intact HepG2 cells, FR194738 inhibited cholesterol synthesis from [14C]acetate with an IC50 value of 4.9 nM, and induced intracellular [14C]squalene accumulation. Their results suggest that non-sterol metabolite(s) derived from mevalonate prior to the squalene epoxidation step in the cholesterol synthetic cascade have a regulatory role in the suppression of HMG-CoA reductase activity (PMID:11716837).",PMID:18728668;PMID:11716837,
"squalene 2,3-oxide",166,Cholesterol biosynthesis,ENSG00000160285,"Same enzymes targeted, but not with AM",Stable cell lines that overexpress HDAC3 show a decrease in lanosterol synthase mRNA and have lower cholesterol concentrations compared with parental cells (PMID:17925399).,PMID:17925399,
lanosterol,166,Cholesterol biosynthesis,(ENSG00000001630);ENSG00000116133,"Same enzymes targeted, but not with AM",Overexpression of 24-dehydrocholesterol reductase (DHCR24) has been observed in adrenal gland cancer cells (PMID:20465827). DHCR24 involvement in proliferation and secretion suggests that its downregulation may be a major mechanism causing prostate cancer evolution. DHCR24 may thus potentially decrease cell growth and steroid dependency in low-grade prostate cancer (PMID:20166102).,PMID:20465827;PMID:20166102,
"24,25-dihydrolanosterol",489,Cholesterol biosynthesis,ENSG00000001630,Activity correlates with cancer progression,Iinhibition of CYP51A1 reduces the sterol synthetic rate in Hep G2 cells (PMID:1657912). Down regulation of Srebf2 may be the triggering factor for down regulation of the cholesterol biosynthesis pathway in HepG2 and F9 cell lines treated with Trichostatin A (TSA).  Microarray data showed that levels of Cyp51a1 were also down regulated further adding support to the possible use of this Histone deacetylases as a way to decrease plasma cholesterol levels (PMID:18959802).,PMID:1657912;PMID:18959802,
"4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol",489,Cholesterol biosynthesis,ENSG00000001630,Activity correlates with cancer progression,Iinhibition of CYP51A1 reduces the sterol synthetic rate in Hep G2 cells (PMID:1657912). Down regulation of Srebf2 may be the triggering factor for down regulation of the cholesterol biosynthesis pathway in HepG2 and F9 cell lines treated with Trichostatin A (TSA).  Microarray data showed that levels of Cyp51a1 were also down regulated further adding support to the possible use of this Histone deacetylases as a way to decrease plasma cholesterol levels (PMID:18959802).,PMID:1657912;PMID:18959802,
"4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol",489,Cholesterol biosynthesis,ENSG00000001630,Activity correlates with cancer progression,Iinhibition of CYP51A1 reduces the sterol synthetic rate in Hep G2 cells (PMID:1657912). Down regulation of Srebf2 may be the triggering factor for down regulation of the cholesterol biosynthesis pathway in HepG2 and F9 cell lines treated with Trichostatin A (TSA).  Microarray data showed that levels of Cyp51a1 were also down regulated further adding support to the possible use of this Histone deacetylases as a way to decrease plasma cholesterol levels (PMID:18959802).,PMID:1657912;PMID:18959802,
"4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol",489,Cholesterol biosynthesis,ENSG00000149809,Activity correlates with cancer progression,The docosahexaenoic acid (DHA; 22:6 n-3) causes extensive changes in gene expression patterns at mRNA level in the colon cancer cell line SW620 and reduce cancer cell growth (PMID:18566476). The expression of TM7SF2 is decreased in parallel to the reduced growth rate.,PMID:18566476,
"4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol",489,Cholesterol biosynthesis,ENSG00000052802;ENSG00000170271,Activity correlates with cancer progression,"The rate-determining stop for both liver and hepatoma is the inital oxidative attack on the 4alpha-methyl group of cholesterol procursors. It is suggested that the postmicrosomal supernatant fraction of both liver and hepatoma contains a cytosolic protein that may participate in the regulation of the rate-determining attack of 4alpha-methyl sterol substrates (PMID:192449). The inactivation of 2 sterol biosynthesis pathway genes, SC4MOL (sterol C4-methyl oxidaseÐlike) and its partner, NSDHL (NADP-dependent steroid dehydrogenaseÐlike), sensitized tumor cells to oncogenic EGF receptor inhibitors (PMID:23125191). SC4MOL and NSDHL were identified as high value metabolic targets to treat conditions like cancer with mechanisms involving regulation of EGFR signaling and endocytic trafficking, and suggests novel strategies to increase the potency of EGFR antagonists in tumors  (PMID:23125191).",PMID:192449;PMID:23125191,
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol,489,Cholesterol biosynthesis,ENSG00000147383,Activity correlates with cancer progression,"The inactivation of 2 sterol biosynthesis pathway genes, SC4MOL (sterol C4-methyl oxidaseÐlike) and its partner, NSDHL (NADP-dependent steroid dehydrogenaseÐlike), sensitized tumor cells to oncogenic EGF receptor inhibitors (PMID:23125191). SC4MOL and NSDHL were identified as high value metabolic targets to treat conditions like cancer with mechanisms involving regulation of EGFR signaling and endocytic trafficking, and suggests novel strategies to increase the potency of EGFR antagonists in tumors  (PMID:23125191).",PMID:23125191,
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol,489,Cholesterol biosynthesis,ENSG00000147383,Activity correlates with cancer progression,"The inactivation of 2 sterol biosynthesis pathway genes, SC4MOL (sterol C4-methyl oxidaseÐlike) and its partner, NSDHL (NADP-dependent steroid dehydrogenaseÐlike), sensitized tumor cells to oncogenic EGF receptor inhibitors (PMID:23125191). SC4MOL and NSDHL were identified as high value metabolic targets to treat conditions like cancer with mechanisms involving regulation of EGFR signaling and endocytic trafficking, and suggests novel strategies to increase the potency of EGFR antagonists in tumors  (PMID:23125191).",PMID:23125191,
4alpha-formyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol,489,Cholesterol biosynthesis,ENSG00000052802;ENSG00000170271,Activity correlates with cancer progression,"The rate-determining stop for both liver and hepatoma is the inital oxidative attack on the 4alpha-methyl group of cholesterol procursors. It is suggested that the postmicrosomal supernatant fraction of both liver and hepatoma contains a cytosolic protein that may participate in the regulation of the rate-determining attack of 4alpha-methyl sterol substrates (PMID:192449). The inactivation of 2 sterol biosynthesis pathway genes, SC4MOL (sterol C4-methyl oxidaseÐlike) and its partner, NSDHL (NADP-dependent steroid dehydrogenaseÐlike), sensitized tumor cells to oncogenic EGF receptor inhibitors (PMID:23125191). SC4MOL and NSDHL were identified as high value metabolic targets to treat conditions like cancer with mechanisms involving regulation of EGFR signaling and endocytic trafficking, and suggests novel strategies to increase the potency of EGFR antagonists in tumors  (PMID:23125191).",PMID:192449;PMID:23125191,
4alpha-formyl-5alpha-cholesta-8-en-3beta-ol,489,Cholesterol biosynthesis,ENSG00000052802;ENSG00000170271,Activity correlates with cancer progression,"The rate-determining stop for both liver and hepatoma is the inital oxidative attack on the 4alpha-methyl group of cholesterol procursors. It is suggested that the postmicrosomal supernatant fraction of both liver and hepatoma contains a cytosolic protein that may participate in the regulation of the rate-determining attack of 4alpha-methyl sterol substrates (PMID:192449). The inactivation of 2 sterol biosynthesis pathway genes, SC4MOL (sterol C4-methyl oxidaseÐlike) and its partner, NSDHL (NADP-dependent steroid dehydrogenaseÐlike), sensitized tumor cells to oncogenic EGF receptor inhibitors (PMID:23125191). SC4MOL and NSDHL were identified as high value metabolic targets to treat conditions like cancer with mechanisms involving regulation of EGFR signaling and endocytic trafficking, and suggests novel strategies to increase the potency of EGFR antagonists in tumors  (PMID:23125191).",PMID:192449;PMID:23125191,
4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol,489,Cholesterol biosynthesis,ENSG00000052802;ENSG00000170271,Activity correlates with cancer progression,"The rate-determining stop for both liver and hepatoma is the inital oxidative attack on the 4alpha-methyl group of cholesterol procursors. It is suggested that the postmicrosomal supernatant fraction of both liver and hepatoma contains a cytosolic protein that may participate in the regulation of the rate-determining attack of 4alpha-methyl sterol substrates (PMID:192449). The inactivation of 2 sterol biosynthesis pathway genes, SC4MOL (sterol C4-methyl oxidaseÐlike) and its partner, NSDHL (NADP-dependent steroid dehydrogenaseÐlike), sensitized tumor cells to oncogenic EGF receptor inhibitors (PMID:23125191). SC4MOL and NSDHL were identified as high value metabolic targets to treat conditions like cancer with mechanisms involving regulation of EGFR signaling and endocytic trafficking, and suggests novel strategies to increase the potency of EGFR antagonists in tumors  (PMID:23125191).",PMID:192449;PMID:23125191,
4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol,489,Cholesterol biosynthesis,ENSG00000052802;ENSG00000170271,Activity correlates with cancer progression,"The rate-determining stop for both liver and hepatoma is the inital oxidative attack on the 4alpha-methyl group of cholesterol procursors. It is suggested that the postmicrosomal supernatant fraction of both liver and hepatoma contains a cytosolic protein that may participate in the regulation of the rate-determining attack of 4alpha-methyl sterol substrates (PMID:192449). The inactivation of 2 sterol biosynthesis pathway genes, SC4MOL (sterol C4-methyl oxidaseÐlike) and its partner, NSDHL (NADP-dependent steroid dehydrogenaseÐlike), sensitized tumor cells to oncogenic EGF receptor inhibitors (PMID:23125191). SC4MOL and NSDHL were identified as high value metabolic targets to treat conditions like cancer with mechanisms involving regulation of EGFR signaling and endocytic trafficking, and suggests novel strategies to increase the potency of EGFR antagonists in tumors  (PMID:23125191).",PMID:192449;PMID:23125191,
4alpha-methyl-cholesta-8-enol,489,Cholesterol biosynthesis,ENSG00000052802;ENSG00000170271,Activity correlates with cancer progression,"The rate-determining stop for both liver and hepatoma is the inital oxidative attack on the 4alpha-methyl group of cholesterol procursors. It is suggested that the postmicrosomal supernatant fraction of both liver and hepatoma contains a cytosolic protein that may participate in the regulation of the rate-determining attack of 4alpha-methyl sterol substrates (PMID:192449). The inactivation of 2 sterol biosynthesis pathway genes, SC4MOL (sterol C4-methyl oxidaseÐlike) and its partner, NSDHL (NADP-dependent steroid dehydrogenaseÐlike), sensitized tumor cells to oncogenic EGF receptor inhibitors (PMID:23125191). SC4MOL and NSDHL were identified as high value metabolic targets to treat conditions like cancer with mechanisms involving regulation of EGFR signaling and endocytic trafficking, and suggests novel strategies to increase the potency of EGFR antagonists in tumors  (PMID:23125191).",PMID:192449;PMID:23125191,
4alpha-methyl-5alpha-cholesta-8-en-3-one,489,Cholesterol biosynthesis,ENSG00000132196,Activity correlates with cancer progression,High expression of HSD17B7 in human ductal carcinoma and breast cancer cell lines presents evidence for a strong up-regulation of this enzyme. The increased  transcriptional activity of HSD17B7 in breast cancer cells through a novel mechanism requiring NF1 enhances growth of estrogen-dependent breast cancers (PMID:21372145).,PMID:21372145,
5alpha-cholesta-8-en-3-one,489,Cholesterol biosynthesis,ENSG00000132196,Activity correlates with cancer progression,High expression of HSD17B7 in human ductal carcinoma and breast cancer cell lines presents evidence for a strong up-regulation of this enzyme. The increased  transcriptional activity of HSD17B7 in breast cancer cells through a novel mechanism requiring NF1 enhances growth of estrogen-dependent breast cancers (PMID:21372145).,PMID:21372145,
cholestenol,489,Cholesterol biosynthesis,ENSG00000147155,Activity correlates with cancer progression,"Blocking EBP activity through OH-TAM, is more efficient than SR31747A at inhibiting the proliferation of the hormono-sensitive MCF-7 and MCF-7AZ cell lines (PMID:12569389).",PMID:12569389,
lathosterol,489,Cholesterol biosynthesis,ENSG00000109929,Activity correlates with cancer progression,Gene expression profiles of human ovarian carcinomas in vivo during Taxol¨ (paclitaxel) treatment were investigated and SC5D expression alterations were detected 24 h after paclitaxel administration (PMID:14985451).  ,PMID:14985451,
provitamin D3,489,Cholesterol biosynthesis,(ENSG00000172893);(ENSG00000135929),"Same metabolite/enzyme targeted, but at least partly for other reasons",Smith-Lemli-Opitz syndrome/RSH (SLOS) is a multiple congenital anomaly syndrome caused by mutations in the gene for Delta7-sterol reductase (DHCR7) which catalyses the last step in the biosynthesis of cholesterol. SLOS is among the common recessive disorders in Europeans but almost absent in most other populations. More than 40 mutations in the DHCR7 gene some of which are frequent have been described in SLOS patients of various origins (PMID:11175299).,PMID:11175299,
cholesterol,83,Cholesterol biosynthesis,See HMR database,Activity correlates with cancer progression,Enzymes involving in the synthesis of the cholesterol were targeted in different cancer studies (See metabolites in the liner pathway of cholesterol synthesis).,,
methionine,395,Cysteine and methionine metabolism,See HMR database,Used as AM,"Several l- and d-form amino acids were introduced into the anthraquinone skeleton and numerous derivatives were synthesized for the evaluation of anticancer activity. The screening tests showed that WRC-213, an l-methionine conjugation, was the most effective derivative to inhibit proliferative effect of human androgen-independent prostate cancer PC-3 cells (IC50=50 nM) (PMID: 18035333). WRC-213 also displayed a potent anti-proliferative activity in various cancer cell lines, including non-small cell lung cancer A549, androgen-independent prostate cancer DU145, colorectal cancer HT-29, breast cancer MCF-7 and hepatocellular carcinoma Hep3B and HepG2. Ethionine, as methionine analogue, in combination with methionine starved diets display a potent activity against human colon and lung tumors, that attributed to inhibition of methyltransferase leading to DNA, RNA, protein hypomethylation (PMID:6254144)",PMID:18035333;PMID:6254144;PMID:9061049,
SAH,83,Cysteine and methionine metabolism,See HMR database,"Same enzymes targeted, but not with AM",S-adenosylhomocysteine hydrolase inhibition by 3-deazaneplanocin A analogues induces anti-cancer effects in breast cancer cell lines and synergy with both histone deacetylase and HER2 inhibition (PMID:20556507).,PMID:20556507,
SAM,147,Cysteine and methionine metabolism,See HMR database,Used as AM,"Sinefungin is a DNA methyltransferase inhibitor and an analog of s-adenosyl-L-methionine (SAM) as indicated by previous studies. In studies investigating cytosine deamination by DNA methyltransferase, it was noted that the presence of Sinefungin increased the rate of deamination 103 fold in the presence of its analog SAM, and 104 in the absence of SAM. This may suggest that Sinefungin could be useful as a test compound in antiviral, anticancer, antiparasitic and antifungal applications. Additional studies indicate that Sinefungin was able to inhibit RNA synthesis in a vaccinia virion preparation. SAM biosynthesis, catalyzed by methionine adenosyltransferase (MAT), is the first step in methionine catabolism. SAM is the link to three key metabolic pathways Ð polyamine synthesis, transmethylation and transsulfuration. In polyamine synthesis, SAM is decarboxylated and the remaining propylamino moiety attached to its sulfonium ion is donated to putrescine and spermidine. Methylthioadenosine (MTA) is a by-product in this pathway. In transmethylation, SAM donates its methyl group to a large variety of acceptor molecules in reactions catalyzed by methyltransferases (MT). SAM is converted to S-adenosylhomocysteine (SAH) during transmethylation and SAH is a potent inhibitor of all transmethylation reactions. SAH is hydrolyzed to form homocysteine (Hcy) and adenosine through a reversible reaction catalyzed by SAH hydrolase, whose thermodynamics favors biosynthesis rather than hydrolysis. In vivo, this reaction proceeds as hydrolysis because the products Hcy and adenosine are promptly removed. Hcy can be remethylated to form methionine via methionine synthase (MS), which requires folate and vitamin B12 and betaine homocysteine methyltransferase, which requires betaine. Remethylation of homocysteine via MS requires 5-methyltetrahydrofolate (5-MTHF), which is derived from 5,10-methylenetetrahydrofolate (5,10-MTHF) in a reaction catalyzed by methylenetetrahydrofolate reductase (MTHFR). 5-MTHF is then converted to tetrahydrofolate (THF) as it donates its methyl group and THF is converted to 5,10-MTHF, which is important for thymidylate and purine synthesis. Hcy can also become converted to cysteine, the rate-limiting precursor for glutathione (GSH), via the trans-sulfuration pathway via a two-step enzymatic process catalyzed by cystathionine _-synthase (CBS) and cystathionase, both requiring vitamin B6.(PMID: 18336669)",PMID:15056663;PMID:11716715;PMID:8774911;PMID:659406,
L-cystathionine,83,Cysteine and methionine metabolism,ENSG00000116761,Activity correlates with cancer progression,Two SNPs in the CTH gene were significantly associated with bladder cancer risk (PMID:17311259). Additional work is needed to comprehensively evaluate genomic variation in CTH and related genes in the trans-sulfuration pathway and bladder cancer risk.,PMID:17311259,
dihydrofolate,225,Folate metabolism,ENSG00000178700;ENSG00000228716,"Same enzymes targeted, but with other AM","Methotrexate (MTX), a tight binding inhibitor of DHFR, is one of the most widely used drugs in cancer treatment and is especially effective in the treatment of acute lymphocytic leukemia, non-Hodgkin's lymphoma, and osteosarcoma (PMID:23197646,PMID:2871191). Pemetrexed is pyrrotopyrimidine-based, multi-targeted antifolate with broad in vivo antitumor activity. Originally identified as a highly efficient substrate for folylpolyglutamate synthase, pemetrexed potently inhibits multiple folate-dependent enzymes involved in both purine and pyrimidine synthesis including thymidylate synthase (Ki = 109 nM), dihydrofolate reductase (Ki = 7 nM), glycinamide ribonucleotide formyltransferase (Ki = 9.3 _M), and aminoimidazole carboxamide ribonucleotide formyltransferase (Ki = 3.6 _M) (PMID:9067281).",PMID: 23197646;PMID:9067281;PMID:2871191,
folate,173,Folate metabolism,ENSG00000178700;ENSG00000228716,Used as AM,"Methotrexate (MTX), a tight binding inhibitor of DHFR, is one of the most widely used drugs in cancer treatment and is especially effective in the treatment of acute lymphocytic leukemia, non-Hodgkin's lymphoma, and osteosarcoma (PMID:23197646,PMID:2871191). Pemetrexed is pyrrotopyrimidine-based, multi-targeted antifolate with broad in vivo antitumor activity. Originally identified as a highly efficient substrate for folylpolyglutamate synthase, pemetrexed potently inhibits multiple folate-dependent enzymes involved in both purine and pyrimidine synthesis including thymidylate synthase (Ki = 109 nM), dihydrofolate reductase (Ki = 7 nM), glycinamide ribonucleotide formyltransferase (Ki = 9.3 _M), and aminoimidazole carboxamide ribonucleotide formyltransferase (Ki = 3.6 _M) (PMID:9067281).",PMID: 23197646;PMID:9067281;PMID:2871191,
formate,230,Folate metabolism,See HMR database,"Same enzymes targeted, but with other AM","The folic acid analog, A-methopterin, has been shown to inhibit by 72 per cent the incorporation of formate-C14 into the protein of leukemic cells sensitive in vivo to A-methopterin. A-methopterin inhibited by 40 per cent the incorporation of the isotope into the proteins of a lymphoma resistant in vivo to A-methopterin therapy (Cancer Res 1952;12:677-679). ",Cancer Res 1952;12:677-679,
CDP-choline,489,Glycerophospholipid metabolism,ENSG00000111666;ENSG00000134255,"Same enzymes targeted, but with other AM",Phospholipid analogs are unnatural compounds with high metabolic stability which are readily incorporated into cellular membranes (PMID:10664795),PMID:10664795,
choline,571,Glycerophospholipid metabolism,See HMR database,AM developed for other conditions than cancer,"Choline analogs (F-choline and F-fluoroethylcholine) have been used to study tumor lipid metabolism through positron emission tomography  (PMID:11196147;PMID:11850483). High levels of choline kinase (ChoK) expression and choline phospholipid metabolites are often associated with malignant transformation, invasion, and metastasis, particularly in breast cancer. ",PMID:11196147;PMID:11850483,
inositol,341,Glycerophospholipid metabolism,See HMR database,"Same enzymes targeted, but with other AM","Inositol phosphate analogues show some potential as anticancer drugs, once the targets have been identified and structure-activity relationships can be derived. The antiproliferative properties of higher inositol phosphates have
been observed for many years (PMID:12594974;PMID:16166311;PMID:14755253).",PMID:12594974;PMID:16166311;PMID:14755253,
phosphocholine,489,Glycerophospholipid metabolism,ENSG00000102230;ENSG00000161217,"Same enzymes targeted, but with other AM",Phospholipid analogs are unnatural compounds with high metabolic stability which are readily incorporated into cellular membranes (PMID:10664795),PMID:10664795,
glycine,768,"Glycine, serine and threonine metabolism",See HMR database,Activity correlates with cancer progression, Mootha and colleagues perform metabolic profiling of the NCI-60 cancer cell line collection and report a key role for glycine in supporting rapid cellular proliferation (PMID:22628656).,PMID:22628656,
homocysteine,83,"Glycine, serine and threonine metabolism",(ENSG00000132840;ENSG00000145692);(ENSG00000160200),"Same enzymes targeted, but not with AM","BHMT catalyzes a reaction that converts homocysteine to methionine. Because cancer cells require high levels of methionine, the ability to slow methionineÕs production could result in a treatment that will selectively inhibit cancer growth (PMID:20797482)",PMID:20797482,
lipoic acid,0,Lipoic acid metabolism,ENSG00000144182,Used as AM,"alpha-Lipoic acid derivatives were synthesized and evaluated for their in vitro anticancer activities against NCI-460, HO-8910, KB, BEL-7402, and PC-3 cell lines (PMID:20403695). ",PMID:20403695,
lipoyl-AMP,0,Lipoic acid metabolism,ENSG00000144182,"Same enzymes targeted, but with other AM","alpha-Lipoic acid derivatives were synthesized and evaluated for their in vitro anticancer activities against NCI-460, HO-8910, KB, BEL-7402, and PC-3 cell lines (PMID:20403695). ",PMID:20403695,
lysine,249,Lysine metabolism,See HMR database,Used as AM," Thialysine, is a toxic analog of the amino acid lysine in which the second carbon of the amino acid's R-group (side chain) has been replaced with a sulfur atom. The mechanism for the inhibitory effect of the lysine analog, thialysine on human acute leukemia Jurkat T cells. When Jurkat T cells were treated with thialysine (0.32-2.5 mM), apoptotic cell death along with several biochemical events such as mitochondrial cytochrome c release, caspase-9 activation, caspase-3 activation, degradation of poly (ADP-ribose) polymerase, and DNA fragmentation was induced in a dose- and time-dependent manner (PMID:14637187).",PMID:14637187,
nicotinamide D-ribonucleotide,86,Nicotinate and nicotinamide metabolism,See HMR database,"Same enzymes targeted, but not with AM",Required for de novo synthesis of NAD. Continous synhesis of NAD is important for cancer cells (PMID:23018234). The enzyme producing this metabolite is a new AM target (PMID:16783377). A known anticancer drug also targets this enzyme (PMID:7872964),PMID:23018234;PMID:16783377;PMID:7872964,
dTDP,109,Nucleotide metabolism,See HMR database,"Same enzymes targeted, but with other AM","5-fluorouracil (5FU) (PMID:12724731), Floxuridine (FUDR) (PMID:7526096), Cytosine arabinoside (Cytarabine) (PMID:9255269) and 6-azauracil (6-AU) (Cancer Res 1960;20:28-33)",PMID:12724731;PMID:7526096;PMID:9255269;Cancer Res 1960;20:28-33,
dTMP,91,Nucleotide metabolism,See HMR database,"Same enzymes targeted, but with other AM","5-fluorouracil (5FU) (PMID:12724731), Floxuridine (FUDR) (PMID:7526096), Cytosine arabinoside (Cytarabine) (PMID:9255269) and 6-azauracil (6-AU) (Cancer Res 1960;20:28-33)",PMID:12724731;PMID:7526096;PMID:9255269;Cancer Res 1960;20:28-33,
xanthosine-5-phosphate,249,Nucleotide metabolism,See HMR database,"Same enzymes targeted, but with other AM","5-fluorouracil (5FU) (PMID:12724731), Floxuridine (FUDR) (PMID:7526096), Cytosine arabinoside (Cytarabine) (PMID:9255269) and 6-azauracil (6-AU) (Cancer Res 1960;20:28-33)",PMID:12724731;PMID:7526096;PMID:9255269;Cancer Res 1960;20:28-33,
