From	To	Species	Gene Name
ENSG00000136273	3364	Homo sapiens	HUS1 checkpoint homolog (S. pombe)
ENSG00000104915	8677	Homo sapiens	syntaxin 10
ENSG00000137817	56965	Homo sapiens	poly (ADP-ribose) polymerase family, member 6
ENSG00000112214	9457	Homo sapiens	four and a half LIM domains 5
ENSG00000136457	1101	Homo sapiens	chondroadherin
ENSG00000157470	145773	Homo sapiens	family with sequence similarity 81, member A
ENSG00000066654	55623	Homo sapiens	THUMP domain containing 1
ENSG00000147119	56548	Homo sapiens	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7
ENSG00000105401	11140	Homo sapiens	cell division cycle 37 homolog (S. cerevisiae)
ENSG00000080845	22839	Homo sapiens	discs, large (Drosophila) homolog-associated protein 4
ENSG00000128342	3976	Homo sapiens	leukemia inhibitory factor (cholinergic differentiation factor)
ENSG00000170860	647302	Homo sapiens	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae); similar to Lsm3 protein
ENSG00000170860	27258	Homo sapiens	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae); similar to Lsm3 protein
ENSG00000165757	57608	Homo sapiens	KIAA1462
ENSG00000110619	833	Homo sapiens	cysteinyl-tRNA synthetase
ENSG00000175467	9092	Homo sapiens	squamous cell carcinoma antigen recognized by T cells
ENSG00000091986	151887	Homo sapiens	coiled-coil domain containing 80
ENSG00000102030	8260	Homo sapiens	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
ENSG00000165949	3429	Homo sapiens	interferon, alpha-inducible protein 27
ENSG00000184113	7122	Homo sapiens	claudin 5
ENSG00000106927	259	Homo sapiens	alpha-1-microglobulin/bikunin precursor
ENSG00000110492	4192	Homo sapiens	midkine (neurite growth-promoting factor 2)
ENSG00000088305	1789	Homo sapiens	DNA (cytosine-5-)-methyltransferase 3 beta
ENSG00000120533	56943	Homo sapiens	enhancer of yellow 2 homolog (Drosophila)
ENSG00000153214	84910	Homo sapiens	transmembrane protein 87B
ENSG00000164574	55568	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
ENSG00000183258	51428	Homo sapiens	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
ENSG00000108296	54883	Homo sapiens	coiled-coil domain containing 49
ENSG00000152954	140767	Homo sapiens	neurensin 1
ENSG00000172613	5883	Homo sapiens	RAD9 homolog A (S. pombe)
ENSG00000165046	137994	Homo sapiens	leucine zipper-EF-hand containing transmembrane protein 2
ENSG00000109158	2557	Homo sapiens	gamma-aminobutyric acid (GABA) A receptor, alpha 4
ENSG00000082213	55322	Homo sapiens	chromosome 5 open reading frame 22
ENSG00000118596	9194	Homo sapiens	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)
ENSG00000128346	84645	Homo sapiens	chromosome 22 open reading frame 23
ENSG00000131849	7691	Homo sapiens	zinc finger protein 132
ENSG00000177494	79413	Homo sapiens	zinc finger, BED-type containing 2
ENSG00000067900	6093	Homo sapiens	similar to Rho-associated, coiled-coil containing protein kinase 1; Rho-associated, coiled-coil containing protein kinase 1
ENSG00000067900	727758	Homo sapiens	similar to Rho-associated, coiled-coil containing protein kinase 1; Rho-associated, coiled-coil containing protein kinase 1
ENSG00000139537	85478	Homo sapiens	coiled-coil domain containing 65
ENSG00000196954	837	Homo sapiens	caspase 4, apoptosis-related cysteine peptidase
ENSG00000159450	7062	Homo sapiens	trichohyalin
ENSG00000112624	23506	Homo sapiens	KIAA0240
ENSG00000175470	55844	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
ENSG00000170852	25948	Homo sapiens	kelch repeat and BTB (POZ) domain containing 2
ENSG00000186117	219437	Homo sapiens	olfactory receptor, family 5, subfamily L, member 1
ENSG00000215845	100131187	Homo sapiens	thiosulfate sulfurtransferase KAT, putative
ENSG00000105419	56917	Homo sapiens	Meis homeobox 3; Meis homeobox 3 pseudogene 2
ENSG00000105419	257468	Homo sapiens	Meis homeobox 3; Meis homeobox 3 pseudogene 2
ENSG00000111364	57696	Homo sapiens	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55
ENSG00000132704	79368	Homo sapiens	Fc receptor-like 2
ENSG00000130489	9997	Homo sapiens	SCO cytochrome oxidase deficient homolog 2 (yeast)
ENSG00000164385	154386	Homo sapiens	chromosome 6 open reading frame 195
ENSG00000141552	51529	Homo sapiens	anaphase promoting complex subunit 11
ENSG00000133657	79572	Homo sapiens	ATPase type 13A3
ENSG00000125686	5469	Homo sapiens	mediator complex subunit 1
ENSG00000136840	27090	Homo sapiens	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
ENSG00000153207	25909	Homo sapiens	AT hook containing transcription factor 1; AT hook containing transcription factor 1 pseudogene
ENSG00000153207	285116	Homo sapiens	AT hook containing transcription factor 1; AT hook containing transcription factor 1 pseudogene
ENSG00000163659	25976	Homo sapiens	TCDD-inducible poly(ADP-ribose) polymerase
ENSG00000121152	23397	Homo sapiens	non-SMC condensin I complex, subunit H
ENSG00000166106	170689	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif, 15
ENSG00000165059	5568	Homo sapiens	protein kinase, cAMP-dependent, catalytic, gamma
ENSG00000179914	55600	Homo sapiens	intelectin 1 (galactofuranose binding)
ENSG00000196961	160	Homo sapiens	adaptor-related protein complex 2, alpha 1 subunit
ENSG00000075426	2355	Homo sapiens	FOS-like antigen 2
ENSG00000132109	6737	Homo sapiens	tripartite motif-containing 21
ENSG00000198546	118472	Homo sapiens	zinc finger protein 511
ENSG00000091010	5459	Homo sapiens	POU class 4 homeobox 3
ENSG00000013583	50865	Homo sapiens	heme binding protein 1
ENSG00000170881	11236	Homo sapiens	ring finger protein 139
ENSG00000104131	8669	Homo sapiens	eukaryotic translation initiation factor 3, subunit J
ENSG00000067365	79091	Homo sapiens	chromosome 16 open reading frame 68
ENSG00000171204	55863	Homo sapiens	transmembrane protein 126B
ENSG00000101843	5716	Homo sapiens	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10
ENSG00000196588	57591	Homo sapiens	megakaryoblastic leukemia (translocation) 1
ENSG00000183977	151649	Homo sapiens	chromosome 3 open reading frame 48
ENSG00000198932	9737	Homo sapiens	G protein-coupled receptor associated sorting protein 1
ENSG00000141560	79672	Homo sapiens	fructosamine 3 kinase related protein
ENSG00000163660	57018	Homo sapiens	cyclin L1
ENSG00000088320	28954	Homo sapiens	RAS (RAD and GEM)-like GTP-binding 1
ENSG00000155463	5018	Homo sapiens	oxidase (cytochrome c) assembly 1-like
ENSG00000185238	10196	Homo sapiens	protein arginine methyltransferase 3
ENSG00000139517	222484	Homo sapiens	ligand of numb-protein X 2
ENSG00000067560	387	Homo sapiens	ras homolog gene family, member A
ENSG00000170871	9778	Homo sapiens	KIAA0232
ENSG00000141030	8533	Homo sapiens	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)
ENSG00000141034	79018	Homo sapiens	chromosome 17 open reading frame 39
ENSG00000147912	26267	Homo sapiens	F-box protein 10
ENSG00000169047	3667	Homo sapiens	insulin receptor substrate 1
ENSG00000198937	154467	Homo sapiens	chromosome 6 open reading frame 129
ENSG00000127081	83744	Homo sapiens	zinc finger protein 484
ENSG00000186130	10773	Homo sapiens	zinc finger and BTB domain containing 6
ENSG00000198938	4508	Homo sapiens	Cytochrome c oxidase subunit 3; ATP synthase subunit a; ATP synthase protein 8
ENSG00000198938	6775077	Homo sapiens	Cytochrome c oxidase subunit 3; ATP synthase subunit a; ATP synthase protein 8
ENSG00000198938	4509	Homo sapiens	Cytochrome c oxidase subunit 3; ATP synthase subunit a; ATP synthase protein 8
ENSG00000198938	6775074	Homo sapiens	Cytochrome c oxidase subunit 3; ATP synthase subunit a; ATP synthase protein 8
ENSG00000198938	6775073	Homo sapiens	Cytochrome c oxidase subunit 3; ATP synthase subunit a; ATP synthase protein 8
ENSG00000198938	4514	Homo sapiens	Cytochrome c oxidase subunit 3; ATP synthase subunit a; ATP synthase protein 8
ENSG00000111341	4256	Homo sapiens	matrix Gla protein
ENSG00000165959	79789	Homo sapiens	calmin (calponin-like, transmembrane)
ENSG00000112208	9532	Homo sapiens	BCL2-associated athanogene 2
ENSG00000160695	55823	Homo sapiens	vacuolar protein sorting 11 homolog (S. cerevisiae)
ENSG00000136861	55755	Homo sapiens	CDK5 regulatory subunit associated protein 2
ENSG00000109771	55805	Homo sapiens	LRP2 binding protein
ENSG00000141570	57332	Homo sapiens	chromobox homolog 8 (Pc class homolog, Drosophila)
ENSG00000185627	5719	Homo sapiens	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13
ENSG00000065029	7629	Homo sapiens	zinc finger protein 76 (expressed in testis)
ENSG00000185222	51186	Homo sapiens	WW domain binding protein 5
ENSG00000128016	7538	Homo sapiens	zinc finger protein 36, C3H type, homolog (mouse)
ENSG00000184909	84066	Homo sapiens	chromosome 1 open reading frame 49
ENSG00000184381	8398	Homo sapiens	phospholipase A2, group VI (cytosolic, calcium-independent)
ENSG00000181885	1366	Homo sapiens	claudin 7
ENSG00000179933	55017	Homo sapiens	chromosome 14 open reading frame 119
ENSG00000104147	11339	Homo sapiens	Opa interacting protein 5
ENSG00000189320	389558	Homo sapiens	family with sequence similarity 180, member A
ENSG00000174173	54931	Homo sapiens	RNA (guanine-9-) methyltransferase domain containing 1
ENSG00000205593	414918	Homo sapiens	family with sequence similarity 116, member B
ENSG00000169071	4920	Homo sapiens	receptor tyrosine kinase-like orphan receptor 2
ENSG00000138448	3685	Homo sapiens	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)
ENSG00000139579	79035	Homo sapiens	oligonucleotide/oligosaccharide-binding fold containing 2B
ENSG00000135747	93474	Homo sapiens	zinc finger protein 670
ENSG00000185480	55010	Homo sapiens	chromosome 12 open reading frame 48
ENSG00000182168	8633	Homo sapiens	unc-5 homolog C (C. elegans)
ENSG00000163600	29851	Homo sapiens	inducible T-cell co-stimulator
ENSG00000187498	1282	Homo sapiens	collagen, type IV, alpha 1
ENSG00000136026	10970	Homo sapiens	cytoskeleton-associated protein 4
ENSG00000188859	149297	Homo sapiens	family with sequence similarity 78, member B
ENSG00000120784	22835	Homo sapiens	zinc finger protein 30 homolog (mouse)
ENSG00000196715	154807	Homo sapiens	vitamin K epoxide reductase complex, subunit 1-like 1
ENSG00000109586	51809	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
ENSG00000138039	3973	Homo sapiens	luteinizing hormone/choriogonadotropin receptor
ENSG00000148688	10556	Homo sapiens	ribonuclease P/MRP 30kDa subunit
ENSG00000149925	226	Homo sapiens	aldolase A, fructose-bisphosphate
ENSG00000185686	23532	Homo sapiens	preferentially expressed antigen in melanoma
ENSG00000181619	64582	Homo sapiens	G protein-coupled receptor 135
ENSG00000149923	5531	Homo sapiens	protein phosphatase 4 (formerly X), catalytic subunit
ENSG00000164142	729830	Homo sapiens	family with sequence similarity 160, member A1
ENSG00000198795	25925	Homo sapiens	zinc finger protein 521
ENSG00000135164	9988	Homo sapiens	cyclin D binding myb-like transcription factor 1
ENSG00000135363	4005	Homo sapiens	LIM domain only 2 (rhombotin-like 1)
ENSG00000114573	523	Homo sapiens	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
ENSG00000135372	55226	Homo sapiens	N-acetyltransferase 10 (GCN5-related)
ENSG00000169752	145957	Homo sapiens	neuregulin 4
ENSG00000095787	51322	Homo sapiens	WW domain containing adaptor with coiled-coil
ENSG00000162755	126823	Homo sapiens	kelch domain containing 9
ENSG00000112655	5754	Homo sapiens	PTK7 protein tyrosine kinase 7
ENSG00000196711	389658	Homo sapiens	family with sequence similarity 150, member A
ENSG00000163807	57456	Homo sapiens	KIAA1143
ENSG00000163808	56992	Homo sapiens	kinesin family member 15
ENSG00000185499	4582	Homo sapiens	mucin 1, cell surface associated
ENSG00000188869	342125	Homo sapiens	transmembrane channel-like 3
ENSG00000080200	131544	Homo sapiens	beta-gamma crystallin domain containing 3
ENSG00000164136	3600	Homo sapiens	interleukin 15
ENSG00000136011	55576	Homo sapiens	stabilin 2
ENSG00000058729	55781	Homo sapiens	RIO kinase 2 (yeast)
ENSG00000204873	83900	Homo sapiens	keratin associated protein 9-3
ENSG00000049618	57492	Homo sapiens	AT rich interactive domain 1B (SWI1-like)
ENSG00000075856	9733	Homo sapiens	squamous cell carcinoma antigen recognized by T cells 3
ENSG00000182600	389084	Homo sapiens	chromosome 2 open reading frame 82
ENSG00000172845	6670	Homo sapiens	Sp3 transcription factor
ENSG00000165516	23588	Homo sapiens	kelch domain containing 2
ENSG00000130939	10277	Homo sapiens	ubiquitination factor E4B (UFD2 homolog, yeast)
ENSG00000116198	9731	Homo sapiens	KIAA0562
ENSG00000205571	6607	Homo sapiens	survival of motor neuron 1, telomeric; survival of motor neuron 2, centromeric
ENSG00000205571	6606	Homo sapiens	survival of motor neuron 1, telomeric; survival of motor neuron 2, centromeric
ENSG00000107562	6387	Homo sapiens	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
ENSG00000097046	8317	Homo sapiens	cell division cycle 7 homolog (S. cerevisiae)
ENSG00000135974	79074	Homo sapiens	chromosome 2 open reading frame 49
ENSG00000103148	8131	Homo sapiens	chromosome 16 open reading frame 35
ENSG00000213424	125113	Homo sapiens	keratin 222 pseudogene
ENSG00000213420	221914	Homo sapiens	glypican 2
ENSG00000136810	7295	Homo sapiens	thioredoxin
ENSG00000176927	374786	Homo sapiens	EF-hand calcium binding domain 5
ENSG00000163815	7123	Homo sapiens	C-type lectin domain family 3, member B
ENSG00000205978	57523	Homo sapiens	KIAA1305
ENSG00000181638	286128	Homo sapiens	zinc finger protein 41 homolog (mouse)
ENSG00000136206	285955	Homo sapiens	speedy homolog E6 (Xenopus laevis); similar to speedy homolog A; speedy homolog E5 (Xenopus laevis); WBSCR19-like protein 8-like; speedy homolog E1 (Xenopus laevis)
ENSG00000136206	729597	Homo sapiens	speedy homolog E6 (Xenopus laevis); similar to speedy homolog A; speedy homolog E5 (Xenopus laevis); WBSCR19-like protein 8-like; speedy homolog E1 (Xenopus laevis)
ENSG00000136206	442572	Homo sapiens	speedy homolog E6 (Xenopus laevis); similar to speedy homolog A; speedy homolog E5 (Xenopus laevis); WBSCR19-like protein 8-like; speedy homolog E1 (Xenopus laevis)
ENSG00000136206	442609	Homo sapiens	speedy homolog E6 (Xenopus laevis); similar to speedy homolog A; speedy homolog E5 (Xenopus laevis); WBSCR19-like protein 8-like; speedy homolog E1 (Xenopus laevis)
ENSG00000136206	442590	Homo sapiens	speedy homolog E6 (Xenopus laevis); similar to speedy homolog A; speedy homolog E5 (Xenopus laevis); WBSCR19-like protein 8-like; speedy homolog E1 (Xenopus laevis)
ENSG00000155961	116442	Homo sapiens	RAB39B, member RAS oncogene family
ENSG00000162377	65260	Homo sapiens	chromosome 1 open reading frame 163
ENSG00000155966	2334	Homo sapiens	AF4/FMR2 family, member 2
ENSG00000109332	7323	Homo sapiens	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast); ubiquitin-conjugating enzyme E2D 3 pseudogene
ENSG00000109332	100037280	Homo sapiens	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast); ubiquitin-conjugating enzyme E2D 3 pseudogene
ENSG00000135341	6885	Homo sapiens	mitogen-activated protein kinase kinase kinase 7
ENSG00000038358	23644	Homo sapiens	enhancer of mRNA decapping 4
ENSG00000152558	114908	Homo sapiens	transmembrane protein 123
ENSG00000185662	644994	Homo sapiens	chromosome 5 open reading frame 50
ENSG00000142856	23421	Homo sapiens	integrin beta 3 binding protein (beta3-endonexin)
ENSG00000178999	9212	Homo sapiens	aurora kinase B
ENSG00000214941	125150	Homo sapiens	zinc finger, SWIM-type containing 7
ENSG00000165526	84881	Homo sapiens	RNA pseudouridylate synthase domain containing 4
ENSG00000172062	6607	Homo sapiens	survival of motor neuron 1, telomeric; survival of motor neuron 2, centromeric
ENSG00000172062	6606	Homo sapiens	survival of motor neuron 1, telomeric; survival of motor neuron 2, centromeric
ENSG00000138411	57520	Homo sapiens	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
ENSG00000188883	346689	Homo sapiens	killer cell lectin-like receptor subfamily G, member 2
ENSG00000177464	2828	Homo sapiens	G protein-coupled receptor 4
ENSG00000152763	79819	Homo sapiens	WD repeat domain 78
ENSG00000101695	54941	Homo sapiens	ring finger protein 125
ENSG00000163634	80145	Homo sapiens	THO complex 7 homolog (Drosophila)
ENSG00000155438	84365	Homo sapiens	MKI67 (FHA domain) interacting nucleolar phosphoprotein
ENSG00000006125	163	Homo sapiens	adaptor-related protein complex 2, beta 1 subunit
ENSG00000169499	59339	Homo sapiens	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
ENSG00000162585	199990	Homo sapiens	chromosome 1 open reading frame 86
ENSG00000177468	167826	Homo sapiens	oligodendrocyte transcription factor 3
ENSG00000204856	29902	Homo sapiens	chromosome 12 open reading frame 24
ENSG00000196535	399687	Homo sapiens	myosin XVIIIA
ENSG00000185674	254773	Homo sapiens	lysozyme G-like 2
ENSG00000155970	286097	Homo sapiens	EF-hand domain family, member A2
ENSG00000103549	9810	Homo sapiens	ring finger protein 40
ENSG00000163629	5783	Homo sapiens	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)
ENSG00000083307	79977	Homo sapiens	grainyhead-like 2 (Drosophila)
ENSG00000161091	126321	Homo sapiens	chromosome 19 open reading frame 28
ENSG00000132912	51164	Homo sapiens	dynactin 4 (p62)
ENSG00000155974	23426	Homo sapiens	glutamate receptor interacting protein 1
ENSG00000107371	51010	Homo sapiens	exosome component 3
ENSG00000107372	7763	Homo sapiens	similar to zinc finger, AN1-type domain 5; zinc finger, AN1-type domain 5
ENSG00000107372	732229	Homo sapiens	similar to zinc finger, AN1-type domain 5; zinc finger, AN1-type domain 5
ENSG00000172264	140733	Homo sapiens	MACRO domain containing 2
ENSG00000101890	2986	Homo sapiens	guanylate cyclase 2F, retinal
ENSG00000162769	28982	Homo sapiens	feline leukemia virus subgroup C cellular receptor 1
ENSG00000095380	54187	Homo sapiens	N-acetylneuraminic acid synthase
ENSG00000158528	55607	Homo sapiens	protein phosphatase 1, regulatory (inhibitor) subunit 9A
ENSG00000116679	10625	Homo sapiens	influenza virus NS1A binding protein
ENSG00000158525	93979	Homo sapiens	carboxypeptidase A5
ENSG00000180537	221687	Homo sapiens	ring finger protein 182
ENSG00000116885	127700	Homo sapiens	chromosome 1 open reading frame 102
ENSG00000141750	342667	Homo sapiens	SH3 and cysteine rich domain 2
ENSG00000122882	11319	Homo sapiens	ecdysoneless homolog (Drosophila)
ENSG00000059728	4084	Homo sapiens	MAX dimerization protein 1
ENSG00000105202	2091	Homo sapiens	fibrillarin
ENSG00000169789	442865	Homo sapiens	PTPN13-like, Y-linked pseudogene 4; PTPN13-like, Y-linked pseudogene 3; PTPN13-like, Y-linked; PTPN13-like, Y-linked 2
ENSG00000169789	442866	Homo sapiens	PTPN13-like, Y-linked pseudogene 4; PTPN13-like, Y-linked pseudogene 3; PTPN13-like, Y-linked; PTPN13-like, Y-linked 2
ENSG00000169789	442862	Homo sapiens	PTPN13-like, Y-linked pseudogene 4; PTPN13-like, Y-linked pseudogene 3; PTPN13-like, Y-linked; PTPN13-like, Y-linked 2
ENSG00000169789	9081	Homo sapiens	PTPN13-like, Y-linked pseudogene 4; PTPN13-like, Y-linked pseudogene 3; PTPN13-like, Y-linked; PTPN13-like, Y-linked 2
ENSG00000171989	92483	Homo sapiens	lactate dehydrogenase A-like 6B
ENSG00000162595	9077	Homo sapiens	DIRAS family, GTP-binding RAS-like 3
ENSG00000166377	374868	Homo sapiens	ATPase, class II, type 9B
ENSG00000166170	9529	Homo sapiens	BCL2-associated athanogene 5
ENSG00000182307	65265	Homo sapiens	chromosome 8 open reading frame 33
ENSG00000163249	151195	Homo sapiens	cyclin Y-like 1
ENSG00000214113	57128	Homo sapiens	LYR motif containing 4
ENSG00000214114	26292	Homo sapiens	c-myc binding protein
ENSG00000172270	682	Homo sapiens	basigin (Ok blood group)
ENSG00000153292	266977	Homo sapiens	G protein-coupled receptor 110
ENSG00000169224	148823	Homo sapiens	chromosome 1 open reading frame 150
ENSG00000125207	9271	Homo sapiens	piwi-like 1 (Drosophila)
ENSG00000155016	113612	Homo sapiens	cytochrome P450, family 2, subfamily U, polypeptide 1
