From	To	Species	Gene Name
ENSG00000140153	91833	Homo sapiens	WD repeat domain 20
ENSG00000166869	63928	Homo sapiens	calcineurin B homologous protein 2
ENSG00000040608	65078	Homo sapiens	reticulon 4 receptor
ENSG00000184343	26576	Homo sapiens	SFRS protein kinase 3
ENSG00000177675	283316	Homo sapiens	CD163 molecule-like 1
ENSG00000215012	79680	Homo sapiens	chromosome 22 open reading frame 29
ENSG00000198901	9055	Homo sapiens	protein regulator of cytokinesis 1
ENSG00000180509	3753	Homo sapiens	potassium voltage-gated channel, Isk-related family, member 1
ENSG00000128059	5471	Homo sapiens	phosphoribosyl pyrophosphate amidotransferase
ENSG00000104915	8677	Homo sapiens	syntaxin 10
ENSG00000112214	9457	Homo sapiens	four and a half LIM domains 5
ENSG00000157470	145773	Homo sapiens	family with sequence similarity 81, member A
ENSG00000105401	11140	Homo sapiens	cell division cycle 37 homolog (S. cerevisiae)
ENSG00000128342	3976	Homo sapiens	leukemia inhibitory factor (cholinergic differentiation factor)
ENSG00000120332	63923	Homo sapiens	tenascin N
ENSG00000175467	9092	Homo sapiens	squamous cell carcinoma antigen recognized by T cells
ENSG00000184113	7122	Homo sapiens	claudin 5
ENSG00000119457	57864	Homo sapiens	solute carrier family 46, member 2
ENSG00000106927	259	Homo sapiens	alpha-1-microglobulin/bikunin precursor
ENSG00000139329	4060	Homo sapiens	lumican
ENSG00000088305	1789	Homo sapiens	DNA (cytosine-5-)-methyltransferase 3 beta
ENSG00000145287	51316	Homo sapiens	placenta-specific 8
ENSG00000137868	64220	Homo sapiens	stimulated by retinoic acid gene 6 homolog (mouse)
ENSG00000179603	2918	Homo sapiens	glutamate receptor, metabotropic 8
ENSG00000152954	140767	Homo sapiens	neurensin 1
ENSG00000109158	2557	Homo sapiens	gamma-aminobutyric acid (GABA) A receptor, alpha 4
ENSG00000128346	84645	Homo sapiens	chromosome 22 open reading frame 23
ENSG00000136451	7716	Homo sapiens	vascular endothelial zinc finger 1
ENSG00000131653	84231	Homo sapiens	TNF receptor-associated factor 7
ENSG00000102245	959	Homo sapiens	CD40 ligand
ENSG00000139537	85478	Homo sapiens	coiled-coil domain containing 65
ENSG00000133641	91298	Homo sapiens	chromosome 12 open reading frame 29
ENSG00000196954	837	Homo sapiens	caspase 4, apoptosis-related cysteine peptidase
ENSG00000099284	55506	Homo sapiens	H2A histone family, member Y2
ENSG00000159450	7062	Homo sapiens	trichohyalin
ENSG00000175471	79772	Homo sapiens	multiple C2 domains, transmembrane 1
ENSG00000170647	83935	Homo sapiens	transmembrane protein 133
ENSG00000105419	56917	Homo sapiens	Meis homeobox 3; Meis homeobox 3 pseudogene 2
ENSG00000105419	257468	Homo sapiens	Meis homeobox 3; Meis homeobox 3 pseudogene 2
ENSG00000164385	154386	Homo sapiens	chromosome 6 open reading frame 195
ENSG00000141552	51529	Homo sapiens	anaphase promoting complex subunit 11
ENSG00000136842	7111	Homo sapiens	tropomodulin 1
ENSG00000166106	170689	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif, 15
ENSG00000189308	132660	Homo sapiens	lin-54 homolog (C. elegans)
ENSG00000158321	26053	Homo sapiens	autism susceptibility candidate 2
ENSG00000162526	81629	Homo sapiens	testis-specific serine kinase 3
ENSG00000137878	81488	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1B; glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A; GRINL1A complex locus
ENSG00000137878	145781	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1B; glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A; GRINL1A complex locus
ENSG00000137878	339970	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1B; glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A; GRINL1A complex locus
ENSG00000179914	55600	Homo sapiens	intelectin 1 (galactofuranose binding)
ENSG00000156097	83873	Homo sapiens	G protein-coupled receptor 61
ENSG00000196961	160	Homo sapiens	adaptor-related protein complex 2, alpha 1 subunit
ENSG00000164588	348980	Homo sapiens	hyperpolarization activated cyclic nucleotide-gated potassium channel 1
ENSG00000177283	8325	Homo sapiens	frizzled homolog 8 (Drosophila)
ENSG00000179919	121364	Homo sapiens	olfactory receptor, family 10, subfamily A, member 7
ENSG00000198546	118472	Homo sapiens	zinc finger protein 511
ENSG00000013583	50865	Homo sapiens	heme binding protein 1
ENSG00000178764	22882	Homo sapiens	zinc fingers and homeoboxes 2
ENSG00000170881	11236	Homo sapiens	ring finger protein 139
ENSG00000104131	8669	Homo sapiens	eukaryotic translation initiation factor 3, subunit J
ENSG00000067365	79091	Homo sapiens	chromosome 16 open reading frame 68
ENSG00000131831	10742	Homo sapiens	retinoic acid induced 2
ENSG00000139718	23067	Homo sapiens	SET domain containing 1B
ENSG00000204682	399726	Homo sapiens	chromosome 10 open reading frame 114
ENSG00000176978	29952	Homo sapiens	dipeptidyl-peptidase 7
ENSG00000141027	9611	Homo sapiens	nuclear receptor co-repressor 1
ENSG00000121578	8702	Homo sapiens	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
ENSG00000177098	6330	Homo sapiens	sodium channel, voltage-gated, type IV, beta
ENSG00000183977	151649	Homo sapiens	chromosome 3 open reading frame 48
ENSG00000068400	56850	Homo sapiens	GRIP1 associated protein 1
ENSG00000180347	223075	Homo sapiens	coiled-coil domain containing 129
ENSG00000065923	84679	Homo sapiens	solute carrier family 9 (sodium/hydrogen exchanger), member 7
ENSG00000141564	57521	Homo sapiens	regulatory associated protein of MTOR, complex 1
ENSG00000117289	10628	Homo sapiens	thioredoxin interacting protein
ENSG00000105808	401331	Homo sapiens	RAS p21 protein activator 4; RAS p21 protein activator 4 pseudogene
ENSG00000105808	10156	Homo sapiens	RAS p21 protein activator 4; RAS p21 protein activator 4 pseudogene
ENSG00000179922	147808	Homo sapiens	zinc finger protein 784
ENSG00000088320	28954	Homo sapiens	RAS (RAD and GEM)-like GTP-binding 1
ENSG00000171484	347169	Homo sapiens	olfactory receptor, family 1, subfamily B, member 1
ENSG00000155463	5018	Homo sapiens	oxidase (cytochrome c) assembly 1-like
ENSG00000128564	7425	Homo sapiens	VGF nerve growth factor inducible
ENSG00000156990	285367	Homo sapiens	RNA pseudouridylate synthase domain containing 3
ENSG00000131634	79652	Homo sapiens	transmembrane protein 204
ENSG00000185238	10196	Homo sapiens	protein arginine methyltransferase 3
ENSG00000139517	222484	Homo sapiens	ligand of numb-protein X 2
ENSG00000139514	6541	Homo sapiens	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
ENSG00000067560	387	Homo sapiens	ras homolog gene family, member A
ENSG00000170871	9778	Homo sapiens	KIAA0232
ENSG00000080815	5663	Homo sapiens	presenilin 1
ENSG00000141030	8533	Homo sapiens	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)
ENSG00000170667	100271927	Homo sapiens	RAS p21 protein activator 4B
ENSG00000141034	79018	Homo sapiens	chromosome 17 open reading frame 39
ENSG00000012963	55148	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 7 (putative)
ENSG00000034533	28990	Homo sapiens	asteroid homolog 1 (Drosophila)
ENSG00000127084	89846	Homo sapiens	FYVE, RhoGEF and PH domain containing 3
ENSG00000198937	154467	Homo sapiens	chromosome 6 open reading frame 129
ENSG00000185633	56901	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2
ENSG00000186130	10773	Homo sapiens	zinc finger and BTB domain containing 6
ENSG00000151474	55691	Homo sapiens	FERM domain containing 4A
ENSG00000111341	4256	Homo sapiens	matrix Gla protein
ENSG00000127080	64768	Homo sapiens	inositol 1,3,4,5,6-pentakisphosphate 2-kinase
ENSG00000110244	337	Homo sapiens	apolipoprotein A-IV
ENSG00000101445	26051	Homo sapiens	protein phosphatase 1, regulatory (inhibitor) subunit 16B
ENSG00000141570	57332	Homo sapiens	chromobox homolog 8 (Pc class homolog, Drosophila)
ENSG00000185627	5719	Homo sapiens	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13
ENSG00000176542	205717	Homo sapiens	KIAA2018
ENSG00000101442	79913	Homo sapiens	ARP5 actin-related protein 5 homolog (yeast)
ENSG00000162542	255104	Homo sapiens	transmembrane and coiled-coil domains 4
ENSG00000185220	267002	Homo sapiens	piggyBac transposable element derived 2
ENSG00000148498	56288	Homo sapiens	par-3 partitioning defective 3 homolog (C. elegans)
ENSG00000128016	7538	Homo sapiens	zinc finger protein 36, C3H type, homolog (mouse)
ENSG00000171495	133558	Homo sapiens	HEAT repeat family member 7B2
ENSG00000184909	84066	Homo sapiens	chromosome 1 open reading frame 49
ENSG00000171206	81603	Homo sapiens	tripartite motif-containing 8
ENSG00000179933	55017	Homo sapiens	chromosome 14 open reading frame 119
ENSG00000082482	3776	Homo sapiens	potassium channel, subfamily K, member 2
ENSG00000171916	654346	Homo sapiens	lectin, galactoside-binding, soluble, 9C
ENSG00000205593	414918	Homo sapiens	family with sequence similarity 116, member B
ENSG00000215405	727832	Homo sapiens	hypothetical LOC645202; Putative golgin subfamily A member 6-like protein 6; hypothetical LOC100132202; golgi autoantigen, golgin subfamily a-like
ENSG00000215405	283767	Homo sapiens	hypothetical LOC645202; Putative golgin subfamily A member 6-like protein 6; hypothetical LOC100132202; golgi autoantigen, golgin subfamily a-like
ENSG00000215405	645202	Homo sapiens	hypothetical LOC645202; Putative golgin subfamily A member 6-like protein 6; hypothetical LOC100132202; golgi autoantigen, golgin subfamily a-like
ENSG00000215405	440243	Homo sapiens	hypothetical LOC645202; Putative golgin subfamily A member 6-like protein 6; hypothetical LOC100132202; golgi autoantigen, golgin subfamily a-like
ENSG00000215405	100132202	Homo sapiens	hypothetical LOC645202; Putative golgin subfamily A member 6-like protein 6; hypothetical LOC100132202; golgi autoantigen, golgin subfamily a-like
ENSG00000169071	4920	Homo sapiens	receptor tyrosine kinase-like orphan receptor 2
ENSG00000221932	220296	Homo sapiens	hepatocyte cell adhesion molecule; HEPACAM opposite strand 1
ENSG00000221932	641654	Homo sapiens	hepatocyte cell adhesion molecule; HEPACAM opposite strand 1
ENSG00000143862	127829	Homo sapiens	ADP-ribosylation factor-like 8A
ENSG00000152990	166647	Homo sapiens	G protein-coupled receptor 125
ENSG00000182359	143879	Homo sapiens	kelch repeat and BTB (POZ) domain containing 3
ENSG00000178586	150681	Homo sapiens	olfactory receptor, family 6, subfamily B, member 3
ENSG00000139579	79035	Homo sapiens	oligonucleotide/oligosaccharide-binding fold containing 2B
ENSG00000135747	93474	Homo sapiens	zinc finger protein 670
ENSG00000185480	55010	Homo sapiens	chromosome 12 open reading frame 48
ENSG00000182168	8633	Homo sapiens	unc-5 homolog C (C. elegans)
ENSG00000136026	10970	Homo sapiens	cytoskeleton-associated protein 4
ENSG00000120784	22835	Homo sapiens	zinc finger protein 30 homolog (mouse)
ENSG00000148688	10556	Homo sapiens	ribonuclease P/MRP 30kDa subunit
ENSG00000181619	64582	Homo sapiens	G protein-coupled receptor 135
ENSG00000064652	28966	Homo sapiens	sorting nexin 24
ENSG00000138036	51626	Homo sapiens	dynein, cytoplasmic 2, light intermediate chain 1
ENSG00000149923	5531	Homo sapiens	protein phosphatase 4 (formerly X), catalytic subunit
ENSG00000105443	9266	Homo sapiens	cytohesin 2
ENSG00000198795	25925	Homo sapiens	zinc finger protein 521
ENSG00000158764	142683	Homo sapiens	intelectin 2
ENSG00000135164	9988	Homo sapiens	cyclin D binding myb-like transcription factor 1
ENSG00000156509	286151	Homo sapiens	F-box protein 43
ENSG00000114573	523	Homo sapiens	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
ENSG00000162753	284525	Homo sapiens	solute carrier family 9, member 11
ENSG00000135372	55226	Homo sapiens	N-acetyltransferase 10 (GCN5-related)
ENSG00000188730	375567	Homo sapiens	von Willebrand factor C domain containing 2
ENSG00000178573	4094	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
ENSG00000221947	389668	Homo sapiens	XK, Kell blood group complex subunit-related family, member 9
ENSG00000095787	51322	Homo sapiens	WW domain containing adaptor with coiled-coil
ENSG00000112659	23113	Homo sapiens	cullin 9
ENSG00000162755	126823	Homo sapiens	kelch domain containing 9
ENSG00000221946	53822	Homo sapiens	FXYD domain containing ion transport regulator 7
ENSG00000187486	3767	Homo sapiens	potassium inwardly-rectifying channel, subfamily J, member 11
ENSG00000163807	57456	Homo sapiens	KIAA1143
ENSG00000163808	56992	Homo sapiens	kinesin family member 15
ENSG00000108469	9400	Homo sapiens	RecQ protein-like 5
ENSG00000136014	84101	Homo sapiens	ubiquitin specific peptidase 44
ENSG00000148671	10974	Homo sapiens	chromosome 10 open reading frame 116
ENSG00000168497	8436	Homo sapiens	serum deprivation response (phosphatidylserine binding protein)
ENSG00000163295	248	Homo sapiens	alkaline phosphatase, intestinal
ENSG00000213672	51517	Homo sapiens	NCK interacting protein with SH3 domain
ENSG00000136011	55576	Homo sapiens	stabilin 2
ENSG00000075856	9733	Homo sapiens	squamous cell carcinoma antigen recognized by T cells 3
ENSG00000172243	64581	Homo sapiens	C-type lectin domain family 7, member A
ENSG00000149932	124446	Homo sapiens	transmembrane protein 219
ENSG00000141098	81577	Homo sapiens	glucose-fructose oxidoreductase domain containing 2
ENSG00000135175	4951	Homo sapiens	oncomodulin 2
ENSG00000125124	583	Homo sapiens	Bardet-Biedl syndrome 2
ENSG00000069248	55746	Homo sapiens	nucleoporin 133kDa
ENSG00000182568	6304	Homo sapiens	SATB homeobox 1
ENSG00000009790	80342	Homo sapiens	TRAF3 interacting protein 3
ENSG00000097046	8317	Homo sapiens	cell division cycle 7 homolog (S. cerevisiae)
ENSG00000130956	22927	Homo sapiens	hyaluronan binding protein 4
ENSG00000135974	79074	Homo sapiens	chromosome 2 open reading frame 49
ENSG00000132915	5145	Homo sapiens	phosphodiesterase 6A, cGMP-specific, rod, alpha
ENSG00000213424	125113	Homo sapiens	keratin 222 pseudogene
ENSG00000163624	1040	Homo sapiens	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
ENSG00000136810	7295	Homo sapiens	thioredoxin
ENSG00000176927	374786	Homo sapiens	EF-hand calcium binding domain 5
ENSG00000061987	23041	Homo sapiens	MON2 homolog (S. cerevisiae)
ENSG00000163815	7123	Homo sapiens	C-type lectin domain family 3, member B
ENSG00000205978	57523	Homo sapiens	KIAA1305
ENSG00000196739	85301	Homo sapiens	collagen, type XXVII, alpha 1
ENSG00000162377	65260	Homo sapiens	chromosome 1 open reading frame 163
ENSG00000041515	23026	Homo sapiens	myosin XVI
ENSG00000164169	90826	Homo sapiens	protein arginine methyltransferase 10 (putative)
ENSG00000135569	9038	Homo sapiens	trace amine associated receptor 5
ENSG00000155966	2334	Homo sapiens	AF4/FMR2 family, member 2
ENSG00000101883	158800	Homo sapiens	Rhox homeobox family, member 1
ENSG00000185662	644994	Homo sapiens	chromosome 5 open reading frame 50
ENSG00000142856	23421	Homo sapiens	integrin beta 3 binding protein (beta3-endonexin)
ENSG00000178597	768239	Homo sapiens	prosaposin-like 1
ENSG00000169085	254778	Homo sapiens	chromosome 8 open reading frame 46
ENSG00000138411	57520	Homo sapiens	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
ENSG00000177464	2828	Homo sapiens	G protein-coupled receptor 4
ENSG00000221968	3995	Homo sapiens	fatty acid desaturase 3
ENSG00000115084	80255	Homo sapiens	solute carrier family 35, member F5
ENSG00000011677	2556	Homo sapiens	gamma-aminobutyric acid (GABA) A receptor, alpha 3
ENSG00000152763	79819	Homo sapiens	WD repeat domain 78
ENSG00000163634	80145	Homo sapiens	THO complex 7 homolog (Drosophila)
ENSG00000163635	6314	Homo sapiens	ataxin 7
ENSG00000118137	335	Homo sapiens	apolipoprotein A-I
ENSG00000182613	285659	Homo sapiens	olfactory receptor, family 2, subfamily V, member 2
ENSG00000006125	163	Homo sapiens	adaptor-related protein complex 2, beta 1 subunit
ENSG00000135776	23456	Homo sapiens	ATP-binding cassette, sub-family B (MDR/TAP), member 10
ENSG00000169499	59339	Homo sapiens	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
ENSG00000177468	167826	Homo sapiens	oligodendrocyte transcription factor 3
ENSG00000148655	83938	Homo sapiens	chromosome 10 open reading frame 11
ENSG00000176946	51078	Homo sapiens	THAP domain containing 4
ENSG00000182580	2049	Homo sapiens	EPH receptor B3
ENSG00000155636	129831	Homo sapiens	RNA binding motif protein 45
ENSG00000169299	55276	Homo sapiens	phosphoglucomutase 2
ENSG00000155970	286097	Homo sapiens	EF-hand domain family, member A2
ENSG00000205174	154907	Homo sapiens	chromosome 7 open reading frame 66
ENSG00000172260	257194	Homo sapiens	neuronal growth regulator 1
ENSG00000161091	126321	Homo sapiens	chromosome 19 open reading frame 28
ENSG00000155974	23426	Homo sapiens	glutamate receptor interacting protein 1
ENSG00000135355	84694	Homo sapiens	gap junction protein, alpha 10, 62kDa
ENSG00000107371	51010	Homo sapiens	exosome component 3
ENSG00000172264	140733	Homo sapiens	MACRO domain containing 2
ENSG00000164151	23379	Homo sapiens	KIAA0947
ENSG00000171962	83450	Homo sapiens	leucine rich repeat containing 48
ENSG00000162769	28982	Homo sapiens	feline leukemia virus subgroup C cellular receptor 1
ENSG00000135917	80704	Homo sapiens	solute carrier family 19, member 3
ENSG00000116679	10625	Homo sapiens	influenza virus NS1A binding protein
ENSG00000184313	374977	Homo sapiens	chromosome 1 open reading frame 175
ENSG00000135913	57695	Homo sapiens	ubiquitin specific peptidase 37
ENSG00000116885	127700	Homo sapiens	chromosome 1 open reading frame 102
ENSG00000169789	442865	Homo sapiens	PTPN13-like, Y-linked pseudogene 4; PTPN13-like, Y-linked pseudogene 3; PTPN13-like, Y-linked; PTPN13-like, Y-linked 2
ENSG00000169789	442866	Homo sapiens	PTPN13-like, Y-linked pseudogene 4; PTPN13-like, Y-linked pseudogene 3; PTPN13-like, Y-linked; PTPN13-like, Y-linked 2
ENSG00000169789	442862	Homo sapiens	PTPN13-like, Y-linked pseudogene 4; PTPN13-like, Y-linked pseudogene 3; PTPN13-like, Y-linked; PTPN13-like, Y-linked 2
ENSG00000169789	9081	Homo sapiens	PTPN13-like, Y-linked pseudogene 4; PTPN13-like, Y-linked pseudogene 3; PTPN13-like, Y-linked; PTPN13-like, Y-linked 2
ENSG00000182315	653657	Homo sapiens	methyl-CpG-binding domain protein 3-like 3-like
ENSG00000010539	7752	Homo sapiens	zinc finger protein 200
ENSG00000166170	9529	Homo sapiens	BCL2-associated athanogene 5
ENSG00000169981	7584	Homo sapiens	zinc finger protein 35
ENSG00000214113	57128	Homo sapiens	LYR motif containing 4
ENSG00000172270	682	Homo sapiens	basigin (Ok blood group)
ENSG00000164100	9348	Homo sapiens	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
ENSG00000153292	266977	Homo sapiens	G protein-coupled receptor 110
ENSG00000169224	148823	Homo sapiens	chromosome 1 open reading frame 150
ENSG00000125207	9271	Homo sapiens	piwi-like 1 (Drosophila)
ENSG00000164105	8819	Homo sapiens	Sin3A-associated protein, 30kDa
ENSG00000039523	79567	Homo sapiens	family with sequence similarity 65, member A
ENSG00000163840	151636	Homo sapiens	deltex 3-like (Drosophila)
ENSG00000143622	6016	Homo sapiens	Ras-like without CAAX 1
ENSG00000143816	7483	Homo sapiens	wingless-type MMTV integration site family, member 9A
ENSG00000182827	64746	Homo sapiens	acyl-Coenzyme A binding domain containing 3
ENSG00000100376	55007	Homo sapiens	family with sequence similarity 118, member A
ENSG00000140382	10363	Homo sapiens	high-mobility group 20A
ENSG00000100372	10478	Homo sapiens	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17
ENSG00000151006	339105	Homo sapiens	polyserase 3
ENSG00000197380	147906	Homo sapiens	dapper, antagonist of beta-catenin, homolog 3 (Xenopus laevis)
ENSG00000141741	84299	Homo sapiens	chromosome 17 open reading frame 37
ENSG00000197889	644890	Homo sapiens	meiosis expressed gene 1 homolog (mouse)
ENSG00000221988	80864	Homo sapiens	EGF-like-domain, multiple 8
ENSG00000129864	353513	Homo sapiens	variable charge, Y-linked 1B; variable charge, Y-linked
ENSG00000129864	9084	Homo sapiens	variable charge, Y-linked 1B; variable charge, Y-linked
ENSG00000108825	80755	Homo sapiens	alanyl-tRNA synthetase domain containing 1
ENSG00000149970	22866	Homo sapiens	connector enhancer of kinase suppressor of Ras 2
ENSG00000106992	203	Homo sapiens	adenylate kinase 1
ENSG00000110427	25758	Homo sapiens	chromosome 11 open reading frame 41
ENSG00000151917	221336	Homo sapiens	BEN domain containing 6
ENSG00000130703	9885	Homo sapiens	oxysterol binding protein-like 2
ENSG00000143630	57657	Homo sapiens	hyperpolarization activated cyclic nucleotide-gated potassium channel 3
ENSG00000132975	2835	Homo sapiens	G protein-coupled receptor 12
ENSG00000162999	142679	Homo sapiens	dual specificity phosphatase 19
ENSG00000042062	140876	Homo sapiens	family with sequence similarity 65, member C
ENSG00000129862	353513	Homo sapiens	variable charge, Y-linked 1B; variable charge, Y-linked
ENSG00000129862	9084	Homo sapiens	variable charge, Y-linked 1B; variable charge, Y-linked
ENSG00000022267	2273	Homo sapiens	four and a half LIM domains 1
ENSG00000095321	1384	Homo sapiens	carnitine acetyltransferase
ENSG00000069206	8756	Homo sapiens	ADAM metallopeptidase domain 7
ENSG00000168906	4144	Homo sapiens	methionine adenosyltransferase II, alpha
ENSG00000182836	345557	Homo sapiens	phosphatidylinositol-specific phospholipase C, X domain containing 3
ENSG00000197385	344787	Homo sapiens	zinc finger protein 860
ENSG00000135932	51719	Homo sapiens	calcium binding protein 39
ENSG00000071205	79658	Homo sapiens	Rho GTPase activating protein 10
ENSG00000172014	284232	Homo sapiens	ankyrin repeat domain 20 family, member A2 pseudogene; ankyrin repeat domain 20B; ankyrin repeat domain 20 family, member A4
ENSG00000172014	729171	Homo sapiens	ankyrin repeat domain 20 family, member A2 pseudogene; ankyrin repeat domain 20B; ankyrin repeat domain 20 family, member A4
ENSG00000172014	728747	Homo sapiens	ankyrin repeat domain 20 family, member A2 pseudogene; ankyrin repeat domain 20B; ankyrin repeat domain 20 family, member A4
ENSG00000213465	402	Homo sapiens	ADP-ribosylation factor-like 2
ENSG00000173545	90441	Homo sapiens	zinc finger protein 622
ENSG00000105464	2906	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate 2D
ENSG00000069018	57113	Homo sapiens	transient receptor potential cation channel, subfamily C, member 7
ENSG00000096872	80173	Homo sapiens	intraflagellar transport 74 homolog (Chlamydomonas)
ENSG00000174151	284613	Homo sapiens	cytochrome b-561 domain containing 1
ENSG00000182330	729516	Homo sapiens	Putative PRAME family member 24; PRAME family member 8
